element,sp_num,obs_wl_air(A),intens,Aki(s^-1),Acc,Type,
Ca,2,4206.18,40,4.3e+06,D,,
Na,1,4213.09,,,,,
Na,1,4216.13,,4.20e+04,B,,
Na,1,4216.13,,2.52e+05,B,,
Ca,2,4220.07,50,8.5e+06,D,,
Na,1,4220.76,,,,,
Na,1,4223.81,,1.40e+05,B,,
Ca,1,4226.73,50,2.18e+08,B+,,
Na,1,4238.987,2,,,,
Ca,1,4240.46,15,,,,
Na,1,4242.082,3*,5.54e+04,B,,
Na,1,4242.082,3*,3.32e+05,B,,
Na,1,4249.410,1,,,,
Na,1,4252.520,2,1.84e+05,B,,
Na,1,4253.8,17,5.e+06,D,,
Na,1,4273.642,4,3.91e+05,C,,
Na,1,4273.9,23,1.6e+07,D,,
Na,1,4276.787,5*,7.8e+04,C,,
Na,1,4276.787,5*,4.69e+05,C,,
Ca,1,4283.01,24,4.34e+07,C+,,
Na,1,4286.7,46,2.8e+07,D,,
Na,1,4287.838,2,,,,
Ca,1,4289.36,22,6.0e+07,C+,,
Na,1,4291.006,3,2.47e+05,B,,
Ca,1,4298.99,22,4.66e+07,C+,,
Ca,1,4302.53,25,1.36e+08,C+,,
Ca,1,4307.74,23,1.99e+08,C+,,
Ca,1,4318.65,22,7.4e+07,C+,,
Na,1,4321.400,6,,,,
Na,1,4324.615,7*,1.14e+05,B,,
Na,1,4324.615,7*,6.84e+05,B,,
Na,1,4326.3,,,,,
Na,1,4341.489,4,3.26e+05,C+,,
Na,1,4344.736,5,6.50e+05,C+,,
Ca,1,4355.08,20,1.9e+07,D,,
Na,1,4390.029,8,9.83e+05,B+,,
Na,1,4393.340,9*,1.17e+06,B+,,
Na,1,4393.340,9*,1.95e+05,B,,
Na,1,4419.885,6,2.82e+05,C+,,
Na,1,4423.246,7,5.61e+05,C+,,
Ca,1,4425.44,25,4.98e+07,C,,
Na,1,4432.3,310,1.4e+07,D,,
Ca,1,4434.96,26,6.7e+07,C,,
Ca,1,4435.69,25,3.42e+07,C,,
Ca,1,4454.78,30,8.7e+07,C,,
Ca,1,4455.89,28,2.0e+07,C,,
Ca,1,4456.61,20,2.45e+06,C+,,
Ca,2,4472.04,20,,,,
Ca,2,4479.23,10,,,,
Ca,2,4489.18,20,,,,
Na,1,4494.177,10,1.23e+06,B+,,
Na,1,4497.658,11*,1.46e+06,B+,,
Na,1,4497.658,11*,2.44e+05,B,,
Ca,1,4526.94,23,4.1e+07,D,,
Na,1,4541.633,7,3.76e+05,B,,
Na,1,4545.186,8,7.50e+05,B,,
Ca,1,4578.55,22,1.76e+07,C,,
Ca,1,4581.40,23,2.09e+07,C,,
Ca,1,4581.47,23,3.5e+06,D,,
Ca,1,4585.87,24,2.29e+07,C,,
Ca,1,4585.96,24,2.5e+06,D,,
Na,1,4664.8107,1,2.08e+06,B+,,
Na,1,4668.5595,2*,4.14e+05,B+,,
Na,1,4668.5595,2*,2.49e+06,A,,
Ca,1,4685.27,20,8.0e+06,D,,
Ca,2,4716.74,30,,,,
Ca,2,4721.03,40,,,,
K,1,4740.914,4,8.0e+04,E,,
K,1,4744.345,6,9.8e+04,C,,
Na,1,4747.9410,1,6.19e+05,B,,
