# Observation date	Start [Å]	End [Å]	Center [Å]	Width	Amplitude	Skew	RMSE	R2	FWHM [Å]	EW [Å]
2016-06-13T07:51:04.085000	4878.741665694412	4881.421798642206	[4879.78974346,4880.09780047,4879.64170935]	[0.25718902,0.70887452,0.53477272]	[0.00394217,0.15695821,0.14871292]	[-0.63829521, 0.05526644, 0.45180264]	0.07584937646396642	0.9441508725605025	0.36960833834156703	0.8507308544516865
2016-06-13T07:51:04.085000	4963.345862479249	4964.305910102339	[4963.84078358]	[0.71870413]	[0.13633386]	[0.24168017]	0.09630080653930181	0.8831229516795791	0.32104169501804203	0.3893071713865387
2016-06-13T07:51:04.085000	4964.065898196568	4965.545971615497	[4964.82593491,4964.74593292]	[0.11344499,0.48821957]	[0.15894279,0.08939793]	[-2.        ,-0.11363571]	0.1299314756541056	0.7698062792772616	0.3742816733268751	0.44850899413552686
2016-06-13T07:51:04.085000	4968.386112500474	4969.6261740136315	[4968.94613929,4968.47879468,4969.22615516]	[0.60427055,0.99999937,0.25895689]	[0.10929552,0.00371239,0.07979715]	[ 0.00611657, 0.68734068,-0.13949305]	0.1290685943719016	0.7660034093237404	0.2573712705474704	0.41575505282048236
2016-06-13T07:51:04.085000	4969.886186911553	4970.406212707393	[4970.2212722]	[0.00019059]	[0.00011674]	[-1.73157281]	0.4232912684374764	-0.6884434968271953	0.00027491217036901294	0.0
2016-06-13T07:51:04.085000	4984.486911179385	4985.04693895952	[4984.78692507,4984.7580414 ,4984.69812381]	[0.07232085,0.53738196,0.64512367]	[0.04986275,0.01429791,0.03007375]	[-1.95438924,-0.64741042,-0.13743077]	0.15066289873574415	0.7802937118029163	0.11741780658305931	0.1477692447338837
2016-06-13T07:51:04.085000	4982.086792121659	4986.327002456974	[4983.1868457]	[0.29079405]	[0.49527071]	[-0.69194983]	0.22250405568511605	0.3553096521270327	1.166273385551061	0.8741030900735701
2016-06-12T06:12:33.957000	5704.827996248487	5705.628039447256	[5705.24801785,5705.51122677,5705.16129367]	[0.54252796,0.57561458,0.12173731]	[0.04710389,0.00384397,0.05373727]	[ 0.30610838,-1.99963584, 1.99999777]	0.15684912962925218	0.7180024743315421	0.12654159656410893	0.22412795774626368
2016-06-12T06:12:33.957000	5702.307860172359	5706.748099925535	[5704.54798005,5704.80799409,5705.48803297]	[0.25115729,0.07572101,0.12067002]	[0.03109641,0.40593665,0.71896856]	[ 0.79853838,-2.        , 2.        ]	0.062020822119546175	0.9246846721250933	1.6930415743131395	1.3370939325704705
2016-06-12T06:12:33.957000	5760.190985603407	5760.791018002485	[5760.5110018 ,5760.55100612,5760.36464334]	[0.16022977,0.49518292,0.542061  ]	[0.01928332,0.05649453,0.02845939]	[ 1.83176514,-0.2750777 , 0.41161304]	0.13759739048813463	0.7504437889201463	0.13303445852837043	0.21963391691876627
2016-06-12T06:12:33.957000	5765.271259915599	5766.591331193571	[5765.95129555]	[0.67317549]	[0.10882845]	[-0.21398787]	0.133581452305393	0.7938028291956868	0.25627140748922383	0.3300388811918043
2016-06-12T06:12:33.957000	5769.411483469237	5769.971513708376	[5769.71149859]	[0.76421807]	[0.03684956]	[0.30300976]	0.16036483249184483	0.7747445466217446	0.08677407300310185	0.12984755594951844
2016-06-12T06:12:33.957000	5775.131792340446	5776.251852818725	[5775.89183446,5775.67182258,5775.79182906]	[0.57372144,0.21270469,0.10374906]	[0.08501932,0.02815359,0.16820204]	[ 0.15931688,-1.0915245 , 1.99999987]	0.11188056203110378	0.833057592051039	0.3960855295407497	0.4737147921217031
2016-06-12T06:12:33.957000	5777.931943536143	5783.012217848336	[5780.46774188]	[0.86271276]	[0.54763034]	[0.15267152]	0.03839849471108317	0.9858296160293875	1.2895708958590864	1.822776231109896
2016-06-12T06:12:33.957000	5784.492297766062	5785.412347444648	[5784.97078897,5785.3323442 ,5784.57783051]	[1.        ,0.05475453,0.06927294]	[0.00532716,0.07246045,0.12760713]	[ 1.9999998, 2.       ,-2.       ]	0.1633464624710197	0.46002151570928684	0.30049181854118084	0.19592328673099138
2016-06-12T06:12:33.957000	5794.392832350847	5795.712903628818	[5795.03286799]	[0.34408481]	[0.19294005]	[0.11549767]	0.21939530652178868	0.2704679665398755	0.4543390928041465	0.33778210730146796
2016-06-12T06:12:33.957000	5795.912914428512	5797.633007305867	[5796.75296087,5797.05297491]	[0.69220528,0.72198275]	[0.07187968,0.11484218]	[0.02356955,0.15144293]	0.048002452230744196	0.9818454293548842	0.2704326728827858	0.5401727510253697
2016-06-12T06:12:33.957000	5817.514080795315	5819.474186632303	[5818.17241638,5818.47413371]	[1.41392222e-12,6.41811065e-01]	[0.36798699,0.15300901]	[-0.93050488,-0.6008023 ]	0.10764104063121621	0.8727730957930665	0.8665431520119808	0.47171186843405966
2016-06-12T06:12:33.957000	5840.19530548046	5840.915344359353	[5840.57532492,5840.3573157 ,5840.61255507]	[0.06427401,0.25859737,0.50885716]	[0.02814601,0.00725385,0.08234309]	[ 1.97750092,-0.86274338, 0.23716321]	0.1358307389189751	0.7522384209371937	0.19390316302816651	0.2246776718774187
2016-06-12T06:12:33.957000	5843.195467475849	5843.795499874927	[5843.47548368]	[0.62677489]	[0.03680416]	[-0.42029796]	0.3056814890615276	0.41310431906004896	0.08666716596241927	0.09570947942689101
2016-06-12T06:12:33.957000	5844.335529034098	5845.295580872622	[5844.79675395,5844.57554307]	[0.6992424 ,0.47199062]	[0.05085189,0.06145297]	[-0.27279651,-0.31785536]	0.08816275091898744	0.9098006723351658	0.14471067451715247	0.276619773846496
2016-06-12T06:12:33.957000	5848.655762307459	5850.735874624262	[5849.71581847,5848.97270981,5849.39580119]	[0.79899526,0.09277688,0.15683036]	[0.19180578,0.00863692,0.07228234]	[-0.04926742, 0.84986775, 1.02097056]	0.053206243033870664	0.9703488595193738	0.4516681019454305	0.6560634358662448
2016-06-12T06:12:33.957000	5926.939989307154	5927.900041145679	[5927.44001523,5927.16285305,5927.75143402]	[0.318469  ,0.77375603,0.21718122]	[0.05990551,0.0041397 ,0.02824735]	[-0.29515086,-1.96241935, 0.38529481]	0.16865193613833365	0.3107212428998213	0.14106668718222976	0.13728578723509458
2016-06-12T06:12:33.957000	5987.583263773961	5988.103291853161	[5987.86327781,5987.94327781]	[0.75733522,0.34292939]	[0.0289527 ,0.02617976]	[ 0.11532412,-0.84201184]	0.14402834221999328	0.8242037685572928	0.0681783968270367	0.15168054662515323
2016-06-12T06:12:33.957000	5995.303680642096	5995.863710881235	[5995.59151812,5995.77727884,5995.52886552]	[0.79302344,0.21572745,0.13483518]	[0.02452377,0.01126913,0.05041457]	[ 0.20945825,-0.14217682, 1.34420129]	0.08139152973220284	0.9002146478291604	0.11871723597798763	0.13945576742847535
2016-06-12T06:12:33.957000	6010.504501418737	6011.064531657876	[6010.78322786]	[0.99999999]	[0.00484604]	[1.99999993]	0.6039637031244746	-0.18039831987722943	0.011411558592914043	0.034328120609282003
2016-06-12T06:12:33.957000	6009.404442020427	6009.964472259567	[6009.68847274,6009.63545016]	[0.73017744,0.24013225]	[0.02218554,0.06736986]	[ 0.05954546,-0.18532222]	0.03362364882584086	0.9856097368725327	0.15864390298041672	0.11989874378987429
2016-06-12T06:12:33.957000	6027.545421552549	6028.585477710951	[6028.08544963]	[0.48370884]	[0.1148821]	[0.22359529]	0.18399775068275603	0.5474839382702439	0.27052667744996917	0.29608861326404456
2016-06-12T06:12:33.957000	6031.125614867047	6033.365735823604	[6031.62564295,6032.72570234,6031.84565267]	[0.14538028,0.41791281,0.15449345]	[0.11109777,0.07484245,0.30773359]	[-1.06457493,-0.28600608,-2.        ]	0.09886301591522637	0.8738585858372205	0.7246572379333444	0.7962974157103957
2016-06-12T06:12:33.957000	6035.145831940868	6038.346004735951	[6036.08588162]	[0.23226808]	[0.5368832]	[-1.19368767]	0.1471980478779661	0.5577660404923905	1.2642633142888966	0.8141406852563279
2016-06-12T06:12:33.957000	6037.425955057365	6038.065989616381	[6037.72597234,6037.95243122,6037.74414365]	[0.65291489,0.14849943,0.13370485]	[0.0627883 ,0.01074177,0.00996767]	[-0.16232112,-0.98221209, 0.32371228]	0.10320519634316865	0.8709617037980024	0.14785514954235163	0.2000532892354608
2016-06-12T06:12:33.957000	6044.526338446453	6045.046366525655	[6044.76635249,6044.67148381,6044.94636005]	[2.74119998e-01,5.97546183e-25,1.05616231e-01]	[0.01873288,0.05487302,0.03999669]	[-1.54587753,-1.06749004, 1.81160364]	0.25256755183662605	0.4433070226994307	0.12921608607513835	0.0994118439634734
2016-06-12T06:12:33.957000	6045.526392444916	6046.24643132381	[6045.87074938,6045.6464    ]	[0.48287445,0.26717987]	[0.05987377,0.02837912]	[-0.36089378,-1.03433549]	0.21090074275112178	0.4739250911056655	0.1409919519411214	0.19357797607257016
2016-06-12T06:12:33.957000	6059.7671613830325	6060.607206741741	[6060.34719378,6060.20718406,6060.02717434]	[0.3749955 ,0.22947514,0.17857817]	[0.0342835 ,0.05908863,0.05016362]	[-0.58432786, 1.48215339, 1.53505679]	0.14641486323542688	0.698106036661068	0.13914309662002358	0.277226150839739
2016-06-12T06:12:33.957000	6064.467415175809	6065.747484293842	[6065.08744976,6065.28746053]	[0.64153916,0.6891338 ]	[0.05872352,0.07732856]	[ 0.05282866,-0.18892445]	0.08890429385539916	0.9229083816526872	0.18209484945108217	0.39175983758635186
2016-06-12T06:12:33.957000	6069.907708927449	6071.427791005112	[6070.64774997]	[0.5434147]	[0.13365459]	[-0.25394119]	0.18838918427167176	0.549448509570913	0.314732500612834	0.33207938634523465
2016-06-12T06:12:33.957000	6089.048742458033	6090.368813736005	[6089.7287781 ,6089.79359365]	[0.84712748,0.07336338]	[0.12535877,0.08053518]	[ 0.20939331,-2.        ]	0.038289109449911374	0.9873737551676446	0.29519735489214194	0.4761343290348495
2016-06-12T06:12:33.957000	6107.4497360297555	6108.369785708342	[6107.65878075,6107.92976087]	[0.24143542,0.92146851]	[0.02307911,0.08564004]	[ 0.58420558,-0.2457375 ]	0.09029788755365396	0.9302776070469749	0.2016668928706559	0.32368693582719077
2016-06-12T06:12:33.957000	6112.350000622226	6113.950087019766	[6113.04661541]	[0.72072417]	[0.16029045]	[-0.25375594]	0.08303956806974017	0.9139975538005811	0.3774551599478472	0.49345363605565157
2016-06-12T06:12:33.957000	6115.670179897123	6116.190207976323	[6115.91019394]	[0.7060298]	[0.06393584]	[-0.26697272]	0.14529196918978002	0.7569229072769508	0.15055739628136514	0.18845845973255684
2016-06-12T06:12:33.957000	6116.250211216231	6117.330269534572	[6116.43729556,6116.81024038,6117.09025765]	[0.21592256,0.53966546,0.41256398]	[0.01955856,0.08048375,0.03810337]	[ 0.69799546, 0.44061846,-0.02889921]	0.09167064544234142	0.8300462397832994	0.18952474780771128	0.29211927458591974
2016-06-12T06:12:33.957000	6139.191449940976	6140.431516899071	[6139.83148342,6139.93149098]	[0.6280048 ,0.28154914]	[0.10743617,0.06298312]	[ 0.20656534,-0.89671887]	0.07139218109854122	0.9463359705630713	0.25299284327659843	0.38611213710131337
2016-06-12T06:12:33.957000	6176.7934802831915	6177.593523481962	[6177.20962963,6177.25351013,6177.21196594]	[1.49949832e-01,2.58831921e-24,1.09283458e-01]	[0.01425304,0.08014187,0.10826545]	[1.99999377,0.20970741,2.        ]	0.24127444085320737	0.48163089363907663	0.2549456560365083	0.1889777129694908
2016-06-12T06:12:33.957000	6188.714123944872	6189.794182263213	[6189.23415313,6189.67417701]	[0.49515545,0.29491554]	[0.11306609,0.02117889]	[ 0.12385602,-0.08564567]	0.17869651852990953	0.46868147971976226	0.2662502921851694	0.3234387246006248
2016-06-12T06:12:33.957000	6194.254423096359	6195.134470615006	[6194.71444686,6194.62358629]	[0.77965431,0.11026366]	[0.07184599,0.06709371]	[0.29159228,1.99999989]	0.04739920061407307	0.9790540935582985	0.16918436922307145	0.30456010847236736
2016-06-12T06:12:33.957000	6195.3944846546065	6196.3545364931315	[6195.89451057,6195.95302041]	[0.42477548,0.68103595]	[0.09590781,0.06801059]	[ 0.90963539,-0.07907564]	0.018621605884313625	0.9974663124194164	0.22584564240982602	0.36111801995588905
