# Observation date	Start [Å]	End [Å]	Center [Å]	Width	Amplitude	Skew	RMSE	FWHM [Å]	EW [Å]
2014-09-27T23:59:08.460000	5442.529923715802	5443.129816745888	[5442.92987023,5442.85604666,5442.83654103]	[0.05174106,0.21331515,0.15880984]	[0.05731276,0.01532363,0.08733185]	[-2., 2., 2.]	0.1552835172097314	0.20565078181963012	0.18902921754750435
2014-09-27T23:59:08.460000	5483.022703246528	5483.622596276614	[5483.37253292,5483.42264976,5483.41880867]	[0.19358181,0.13014535,0.18746931]	[0.01566379,0.12864746,0.10881566]	[-1.98897337,-2.        , 1.99999999]	0.21771542641848174	0.30294162764012256	0.299204895659426
2014-09-27T23:59:08.460000	5490.4213839509075	5491.181248455682	[5490.86139941,5490.7013162 ,5490.70131622]	[0.08844446,0.19477901,0.12668561]	[0.10047965,0.0727322 ,0.2597873 ]	[-1.99885536,-1.60779324, 1.99999914]	0.31362966081196436	0.6117523322142744	0.27785667689543925
2014-09-27T23:59:08.460000	5543.271959901381	5545.471567678359	[5544.27176379,5544.47176379,5544.27176379]	[0.08001644,0.60833949,0.20083951]	[0.11402843,0.19684178,2.        ]	[ 2.00000000e+00,-8.56253002e-04, 9.66316046e-02]	0.10241578052908434	4.709640090061898	0.9271326783257257
2014-09-27T23:59:08.460000	5545.291599769334	5546.651357304192	[5545.87147854,5546.07147854,5545.87147854]	[0.21616283,0.41932248,0.17120373]	[2.        ,0.09340154,0.11751621]	[0.10678999,0.7253525 ,1.8015847 ]	0.11417687418283519	4.709640090061898	0.6129817883308412
2014-09-28T00:18:26.304000	4962.514958309871	4964.154665740678	[4963.23481206,4963.35080665,4963.23481203]	[0.52089155,0.12127578,0.32168343]	[0.12584199,0.01918102,0.22955045]	[ 0.35788338, 0.66137049,-1.15501603]	0.03287533909149807	0.5405500039476359	0.6338188455630269
2014-09-28T00:18:26.304000	5256.22255274501	5257.662295854986	[5256.84244331,5256.99581729,5256.8424243 ]	[0.18231237,0.57703137,0.13678076]	[0.42702072,0.07649192,0.14189893]	[-0.57832305, 0.5230481 , 2.        ]	0.10436046062471133	1.0055569492306922	0.5885046041312231
2014-09-28T00:18:26.304000	5417.533770358589	5419.133484925229	[5418.23362764,5418.23362767,5418.23362764]	[0.54094289,0.13470601,0.09548523]	[0.2415296 ,0.09833224,0.10840187]	[-0.10823259,-1.67270738, 1.99999999]	0.03539500736555527	0.5687587332670455	0.6555981052452784
2014-09-28T00:18:26.304000	5442.409331869844	5443.009224832334	[5442.75407096,5442.60927835,5442.65590315]	[0.46160818,0.10072735,0.11493046]	[0.07868237,0.13884733,0.39495174]	[ 1.04552154, 2.        ,-1.97050425]	0.24928579466728798	0.9300402828197086	0.33090434007427505
2014-09-28T00:18:26.304000	5505.738032276712	5506.297932375036	[5505.94156042,5505.91798233,5505.99403647]	[0.49399367,0.20358073,0.16949385]	[0.0348848 ,0.50229469,0.03909654]	[-0.33060246, 1.99958068,-1.98147561]	0.1559597336592747	1.1828135930574082	0.21174364396028086
2014-09-28T00:18:26.304000	5526.2743680259555	5528.03405404926	[5527.12976665,5527.05421104,5527.05421104]	[0.22700146,0.34519041,0.09946585]	[0.02174514,1.04360992,0.15118768]	[-1.4866716 ,-0.39707799, 1.99999999]	0.1327208619272782	2.4575135561188204	0.7659848875645333
2014-09-27T23:59:08.460000	5761.513327508412	5762.953071157528	[5762.23662287,5762.29837188,5762.33319933]	[0.17490732,0.46753521,0.04222792]	[0.18336519,0.09116597,0.41127156]	[ 1.9998656 , 0.47603684,-1.99999344]	0.13171407417328368	0.968470507360391	0.5548234349371833
2014-09-27T23:59:08.460000	5817.683326263544	5818.283219450676	[5817.88327286,5818.08327286,5817.97280906]	[0.37011987,0.75018639,0.70243013]	[0.04500121,0.00865189,0.03680595]	[ 1.13770416,-1.11831319,-0.48615567]	0.2954882994988778	0.10596974797030202	0.19925161725109747
2014-09-27T23:59:08.460000	5922.4046802972325	5923.124552121791	[5922.82112249,5922.86461621,5922.66909588]	[0.20474632,0.31950206,0.45505596]	[0.04062406,0.09276609,0.07309959]	[ 1.65630563,-0.52869895, 0.63244456]	0.13027982350479073	0.21844745806580487	0.3010704722431258
2014-09-27T23:59:08.460000	5924.664277968763	5925.9840429804535	[5925.41402902,5925.22418085,5925.22416047]	[0.40070026,0.42105598,0.07933734]	[0.10171387,1.99999539,0.06571333]	[0.04164152,0.79989012,1.99999969]	0.17354290836843653	4.709629230628224	0.7155830825427552
2014-09-27T23:59:08.460000	6089.97484390279	6090.574737089922	[6090.1747905 ,6090.22125172,6090.1747905 ]	[0.38091786,0.13707064,0.10860643]	[0.0598235 ,0.11418451,0.07038771]	[-1.17366394,-1.99997786, 2.        ]	0.21451120280601926	0.2688839748805625	0.32494828502944517
2014-09-27T23:59:08.460000	6183.1182594248285	6189.157184175291	[6186.03772183,6186.0377218 ,6186.0377218 ]	[0.24957121,0.18915584,0.39694528]	[1.21802413,2.        ,0.72525187]	[-1.28144036, 2.        , 0.36946706]	0.0939305071486945	4.709640090061898	4.355790767157012
2014-09-27T23:59:08.460000	6215.232541375965	6215.792441683955	[6215.41249153]	[0.43844792]	[2.]	[1.25479508]	0.24090482372672933	4.709640090061898	0.21471596683225577
2014-09-27T23:59:08.460000	6454.289976448094	6456.369606163486	[6455.42979131,6455.38838853,6455.42901422]	[0.06127207,0.3249727 ,0.34004066]	[0.21877047,0.07074473,1.99999996]	[ 1.43280681,-0.89965999,-0.18281483]	0.16689406190754613	4.709639990842855	0.8626444890743222
2014-09-27T23:59:08.460000	6468.547437862267	6469.107338170256	[6468.77341479,6468.92738802,6468.72738802]	[0.19440475,0.21116859,0.09716282]	[0.0451617 ,0.22774632,0.07201229]	[-1.99954541,-1.99999998, 1.99999337]	0.25469317406326963	0.5363015891040183	0.22923685931202453
2014-09-27T23:59:08.460000	6519.638340966348	6520.718148703186	[6520.14815975,6520.15452074,6520.07824483]	[0.70997097,0.12115542,0.16522523]	[0.0324186 ,0.16323909,0.16653679]	[-0.33244004,-2.        , 2.        ]	0.222471195468008	0.3921641624716551	0.49923529883803563
2014-09-27T23:59:08.460000	6534.915620798644	6537.875093855162	[6536.47549605,6536.29991354,6536.29535733]	[0.38026338,0.09129586,0.14812961]	[0.14055969,0.6090107 ,0.52564356]	[ 0.42714319,-1.99999999, 2.        ]	0.20493939753185134	1.4341105961441747	1.3196492571221499
2014-09-28T00:18:26.304000	5771.790849331327	5772.430735337606	[5772.21079233,5772.07158276,5772.01079233]	[0.09951885,0.166033  ,0.3933565 ]	[0.08247928,0.02951504,0.19570094]	[-2.        ,-2.        , 0.26679591]	0.23730793684430448	0.46084050468483045	0.2944168359262686
