# Observation date	Start [Å]	End [Å]	Center [Å]	Width	Amplitude	Skew	RMSE	FWHM [Å]	EW [Å]
2015-07-20T05:38:56.887000	5775.454313647151	5776.054250717103	[5775.75488875]	[0.75259772]	[0.01149277]	[-0.42563494]	0.3048441087389281	0.02706340224631638	0.04527973448815579
2015-07-20T05:38:56.887000	5778.873954945878	5779.833854257801	[5779.01393816,5779.3739046 ,5779.43389414]	[0.05086281,0.16994104,0.16640437]	[0.03892675,0.03696276,0.0603962 ]	[-2.41614449, 2.0397663 ,-1.29345055]	0.1935630184101795	0.14222219181016282	0.2373405839388086
2015-07-20T05:38:56.887000	5809.410751806436	5810.010688876388	[5809.69072034,5809.95069727]	[0.17261531,0.10937217]	[0.02588556,0.02535685]	[-1.52303085, 1.93681199]	0.32310896514281073	0.060955837069243755	0.1045746231784106
2015-07-20T05:38:56.887000	5842.187313728148	5842.7872507981	[5842.47170673,5842.46762845,5842.50837555]	[0.64209821,0.00510372,0.0792844 ]	[0.01978146,0.02736751,0.04778234]	[-0.48156687, 4.9999829 ,-2.29871949]	0.10684924577670706	0.11251880264748408	0.15913179825040613
2015-07-20T05:38:56.887000	5850.286464172499	5850.886401242451	[5850.56643271,5850.44644949,5850.58950321]	[0.00628576,0.3828005 ,0.51979376]	[0.05335609,0.01338221,0.01      ]	[-4.31824404, 1.05748468, 1.08480126]	0.18007191900693578	0.12564398210034583	0.1122019654730126
2015-07-20T05:38:56.887000	5907.700441766908	5908.380370446186	[5908.02049573]	[3.76739763e-11]	[0.01]	[2.99389435]	0.22722766210085402	0.023548202586740587	9.466340617243334e-12
2015-07-20T05:38:56.887000	5929.358169992175	5930.558044132079	[5929.59814692]	[0.0733044]	[0.16337601]	[-2.62307119]	0.17736185768196383	0.3847211009721532	0.27181436919328306
2015-07-20T05:38:56.887000	5975.2133600388415	5975.773301304131	[5975.47604373]	[0.00091456]	[0.05842382]	[-4.99784455]	0.5986441616170403	0.1375775785956485	0.014533742006618876
2015-07-20T05:38:56.887000	5975.613318085476	5976.173259350765	[5975.90258654,5975.79344074]	[0.74506175,0.33356522]	[0.03457109,0.01236984]	[0.24390514,0.23931262]	0.15690088369158786	0.08140869355605874	0.13337252846827718
2015-07-20T05:38:56.887000	6027.127914492024	6027.687855757312	[6027.41924726,6027.50026903,6027.22790191]	[0.62307397,0.51126609,0.00580949]	[0.02513552,0.0249453 ,0.05829842]	[ 0.28469651,-0.5416337 , 4.96536624]	0.2053375452225354	0.13728229068103437	0.159331766012356
2015-07-20T05:38:56.887000	6037.246853071881	6037.92678175116	[6037.40683839,6037.56681741]	[0.05730106,0.26148404]	[0.15526102,0.01569383]	[-2.14320168,-1.42812525]	0.16488981767561783	0.3656117684481721	0.1394476533660411
2015-07-20T05:38:56.887000	6044.866053860271	6045.505986734887	[6045.1660203 ,6045.24601191]	[0.22509477,0.30600788]	[0.0138101 ,0.03639332]	[-1.70875372,-1.29730889]	0.21379854991755443	0.08569971776006839	0.1307389704736031
2015-07-20T05:38:56.887000	6139.19615915906	6139.756100424348	[6139.48291663,6139.29615077,6139.54045468]	[0.47157705,0.00260069,0.37719912]	[0.01012548,0.12552318,0.012985  ]	[ 0.4776552 ,-4.99999999,-0.54973922]	0.18326468778725186	0.2955845115428694	0.13305983947427746
2015-07-20T05:38:56.887000	6234.086205723138	6234.8861218164075	[6234.36617426,6234.46616377,6234.64614489]	[0.1808015 ,0.1978715 ,0.49640464]	[0.01068026,0.01355745,0.05851203]	[-1.47975194,-1.54034653, 0.14841924]	0.19877948486373104	0.13778531208317105	0.21552319499927838
2015-07-20T05:38:56.887000	6361.992789036908	6362.9526883488315	[6362.23276177]	[0.06326594]	[0.20768198]	[-2.41009076]	0.2601279878365629	0.48905369907877927	0.2444564638004662
2015-07-20T05:38:56.887000	6424.746206553889	6425.706105865813	[6425.06617509,6425.54612055]	[0.00557452,0.0051912 ]	[0.07502398,0.04583632]	[-5.        , 4.99999999]	0.20188042219697372	0.17666798190042096	0.1833734553499815
2015-07-20T05:38:56.887000	6439.224687842065	6439.784629107353	[6439.51350222,6439.49602765]	[0.66556014,0.00830278]	[0.01898504,0.04450981]	[ 0.27547154,-4.54324479]	0.22129974512279377	0.10481259562207623	0.12825230962699874
2015-07-20T05:38:56.887000	6448.663697742643	6449.183643203269	[6448.93332008,6449.02184951,6448.90587098]	[0.6330538 ,0.2459861 ,0.02294632]	[0.01583673,0.01      ,0.05061283]	[ 0.4558756 ,-0.1162218 , 3.65689195]	0.1304185184687781	0.11918410296305713	0.13952593184215015
2015-07-20T05:38:56.887000	6460.0824999740635	6460.682437044015	[6460.36246851,6460.47339598,6460.1424916 ]	[0.41284476,0.45093446,0.05938358]	[0.01944095,0.02480934,0.07933708]	[-1.10275226,-0.88245432,-1.40816947]	0.15884777912362252	0.18682454569282947	0.15317684054032224
2015-07-20T05:38:56.887000	6520.156198578592	6520.876123062535	[6520.49616082,6520.28183454,6520.75613775]	[0.03491158,0.26981992,0.0670697 ]	[0.01454432,0.01420542,0.05282762]	[-3.47664378,-0.86847008, 2.18987653]	0.239492702031055	0.12439953461910634	0.13704944001181785
2015-07-20T05:38:56.887000	6591.448720391224	6592.2486364844935	[6591.86867844,6591.66869522,6591.98866166]	[0.00398468,0.21571068,0.00489244]	[0.06963193,0.02184548,0.05675305]	[-5.        ,-1.82071604, 5.        ]	0.22312373044316108	0.16397065806025388	0.24502584538767586
2015-07-20T05:38:56.887000	6596.8081582161285	6597.40809528608	[6597.12334865]	[0.46761749]	[0.01344845]	[0.58935156]	0.4637896393754913	0.03166867300759208	0.041386324157962354
2015-07-20T05:38:56.887000	6632.024464222312	6632.824380315582	[6632.40895824]	[0.55898323]	[0.02393834]	[-0.33758745]	0.23632445250668233	0.05637047930548367	0.06985360071826321
2015-07-20T05:38:56.887000	4665.470799270327	4666.3907025241	[4665.83075931]	[0.13149025]	[0.14322995]	[-0.99413688]	0.20116812756754945	0.3372807553811497	0.12756227808805498
2015-07-20T05:38:56.887000	4725.884445567057	4726.884340408114	[4726.40439297]	[0.31568058]	[0.08711224]	[-0.86805824]	0.2952147210574923	0.20513364817189303	0.20177300705607532
2015-07-20T05:38:56.887000	4762.560588337068	4763.2005210353445	[4762.89599141,4762.99959202]	[0.60844402,0.33397803]	[0.0363993 ,0.01770973]	[ 0.31973853,-0.46829346]	0.17973100685109547	0.08571379070683512	0.14817097469372525
2015-07-20T05:38:56.887000	4823.354194673399	4823.994127371678	[4823.41418626]	[0.15452635]	[0.16206437]	[-1.47808725]	0.23910661163665808	0.38163243015942605	0.2125434998419428
2015-07-20T05:38:56.887000	4964.159386191201	4964.719327302193	[4964.41935675,4964.53696188,4964.44599735]	[0.54746546,0.55566415,0.0046983 ]	[0.01      ,0.01387372,0.0108934 ]	[-1.30842719,-0.66649761,-4.99999994]	0.20909176470072657	0.0326701183103544	0.09218567037496941
2015-07-20T05:38:56.887000	5361.4376044404025	5365.51717539192	[5362.91745091]	[0.29045238]	[0.69022055]	[-0.88787087]	0.12000614519374089	1.625345191056414	1.357642621754684
2015-07-20T05:38:56.887000	5486.564444850413	5487.244373342332	[5487.14438596]	[0.15760085]	[0.0153051]	[1.53646309]	0.3126629700371864	0.036040750783664435	0.029793899397654387
2015-07-21T00:09:32.404000	8762.748071462198	8763.308013355027	[8763.00804241,8762.94805075,8762.83679411]	[4.32341119e-02,1.24514205e-36,1.02672132e-02]	[0.06012376,0.03670851,0.01      ]	[-2.68525799e+00, 7.63139360e-04,-4.99962950e+00]	0.2596276323932452	0.1415806235670496	0.10334993873457263
