# Observation date	Start [Å]	End [Å]	Center [Å]	Width	Amplitude	Skew	RMSE	FWHM [Å]	EW [Å]
2016-08-07T01:53:44.897000	4495.992194201521	4506.911398025895	[4502.13827965,4501.88882425,4501.59958608]	[0.00172749,0.00778445,0.02038627]	[0.01751337,0.35167746,1.06489323]	[-0.62883949, 0.36478352, 0.27192254]	0.0021947849303389786	2.5076319332847046	0.08837848476280429
2016-08-07T01:53:44.897000	4678.4731773806925	4679.358256142392	[4688.9]	[0.1]	[0.1]	[2.]	0.0033763572718048954	0.23548200450309495	0.0
2016-08-07T01:53:44.897000	4960.703701834634	4961.476598116428	[4951.1]	[0.1]	[0.1]	[2.]	0.0020313353497475287	0.23548200450309495	0.0
2016-08-07T01:53:44.897000	4681.385735869766	4684.48496924453	[4682.91962576,4682.62479642,4683.15163055]	[5.55897089e-05,1.62787262e-02,2.53752174e-02]	[0.06541926,0.04462008,0.1678472 ]	[ 6.01464845,-0.06406118, 1.02847658]	0.003076450003689895	0.3952499474852316	0.026211497696201673
2016-08-07T01:53:44.897000	4984.308682269356	4984.9473523227925	[4984.46892866,4984.58958762,4984.78775268]	[0.01432249,0.03025552,0.01539629]	[0.03187798,0.05448556,0.04785575]	[ 0.45457615,-0.29970082, 0.15659865]	0.0015535944638190309	0.12830369664334887	0.010517844070137668
2016-08-07T01:53:44.897000	4720.329882937533	4732.892907526069	[4726.37951011,4727.2       ,4727.2       ]	[0.05287921,0.02991067,0.00945277]	[0.46368936,1.67622582,0.60795608]	[ 0.41214018,-0.0700123 ,-1.33702801]	0.0025556671831144235	3.9472101686597094	0.30691981603942964
2016-08-07T01:53:44.897000	4962.478486733817	4965.021331235312	[4963.75667761,4964.09621031,4963.52218276]	[0.0592798 ,0.02671806,0.04437613]	[0.10440038,0.1089347 ,0.09795471]	[-0.12412068, 0.27496341,-0.01558486]	0.002752136693138791	0.2565216216138528	0.04812917953255814
2016-08-07T01:53:44.897000	4988.4312970400815	4989.343965656187	[4979.6]	[0.1]	[0.1]	[2.]	0.02022150568472089	0.23548200450309495	0.0
2016-07-28T03:04:39.058000	4987.020114549756	4988.632337731782	[4988.00702079,4987.76078516]	[0.00996067,0.0048915 ]	[0.02512734,0.09337305]	[ 0.50525539,-0.2243776 ]	0.004652017903342386	0.21987673693751747	0.0026318193382343018
2014-09-28T00:18:26.304000	5848.414659614448	5850.902282891418	[5849.57255735,5849.48566937,5849.33789571]	[0.06595948,0.0028569 ,0.03907826]	[0.07729298,0.22449502,0.10655821]	[-0.09833782,-3.71501639, 0.22525305]	0.003329434950584056	0.5286453650357342	0.06599123581938666
2014-09-28T00:18:26.304000	5775.613221081996	5785.4760233400375	[5780.14738347,5781.52438174,5781.04762194]	[0.12784729,0.06104186,0.01021595]	[0.49857432,0.56316783,0.01315265]	[-0.0754009 , 0.14885773,-0.12659194]	0.005597948069792929	1.3261588881205655	0.35429448226481974
2014-09-28T00:18:26.304000	6005.861196960307	6005.907938089223	[5995.9]	[0.1]	[0.1]	[2.]	0.0010295988145292438	0.23548200450309495	0.0
2014-09-28T00:18:26.304000	5701.016017784386	5709.926589309316	[5706.09999985,5705.13894467]	[0.00782696,0.02177295]	[0.21785773,0.68716289]	[-0.7662389 , 0.02658446]	0.003239620879331622	1.618144944405555	0.059709140333244884
2014-09-28T00:18:26.304000	6117.68651343626	6119.062598963259	[6118.32344436,6118.61317722,6118.47401144]	[0.00814588,0.00512455,0.00355878]	[0.07295477,0.06715453,0.00996432]	[ 0.24615789,-0.14588324,-0.07165375]	0.0018340102216320895	0.17179535734966553	0.003513085021664387
2014-09-28T00:18:26.304000	6438.57265003362	6439.9993417499445	[6439.65855764,6439.35703476,6439.11617564]	[0.00985316,0.01954471,0.01914125]	[0.08488742,0.06532769,0.08622512]	[ 0.69728679,-0.304712  , 0.3101836 ]	0.001468679412443982	0.2030446496784642	0.014159800534525618
2014-09-28T00:18:26.304000	6267.773020526637	6271.309184990848	[6269.13641455,6269.86307468,6270.05076417]	[0.01594674,0.00315819,0.00347498]	[0.4600646 ,0.00205691,0.01894152]	[-0.74119805, 0.31559651, 0.46505687]	0.0029380427626258645	1.0833693416862151	0.03071314515400806
2014-09-28T00:18:26.304000	5762.000300924942	5763.132143561509	[5762.79907279,5762.33457449,5762.64198077]	[0.01149689,0.01106318,0.00311378]	[0.10046638,0.12169272,0.02080662]	[ 0.5592764 ,-0.68370482,-0.73430749]	0.0016462006035543168	0.286564462329398	0.010133537055450524
2014-09-28T00:18:26.304000	6611.811815577532	6615.169168685279	[6613.09752549,6613.74521649]	[0.0349789 ,0.12870522]	[0.07407237,0.31373536]	[0.95762499,0.49269126]	0.009373175536061646	0.7387903054261763	0.15897054416923706
2014-09-28T00:18:26.304000	6461.206312330017	6497.798521133695	[6488.96289375,6489.32679456,6489.69209507]	[0.00343853,0.00645813,0.01305097]	[0.05643055,0.08164439,0.00402383]	[0.31392878,0.17445743,0.71828343]	0.009193410693937018	0.19225784526638018	0.002760373735061623
2014-09-28T00:18:26.304000	6145.429879706795	6145.474413018392	[6146.1823506 ,6145.72396451]	[0.03697383,0.0863604 ]	[0.06704437,0.08919093]	[-37.16051785,-31.3581477 ]	0.0024371454606255953	0.21002859519134376	0.0
2014-09-28T00:18:26.304000	5922.091605645933	5924.532226918601	[5922.88197047,5923.83175707,5923.25094858]	[0.00115248,0.00015253,0.02311457]	[5.43201225e-06,3.79670314e-02,9.39341514e-02]	[ 0.68925274, 5.31776765,-0.1554483 ]	0.0053557978424565575	0.22119802257232296	0.00935630881381806
