# Observation date	Start [Å]	End [Å]	Center [Å]	Width	Amplitude	Skew	RMSE	FWHM [Å]	EW [Å]
2016-06-12T06:12:33.957000	6235.53025654255	6237.446169356064	[6236.517738  ,6237.05321697,6236.72544359]	[0.00355974,0.0012546 ,0.00206509]	[0.08560698,0.0146684 ,0.01056695]	[ 0.32854622,-0.72706466, 0.47337854]	0.0009638187015257824	0.2015890425896748	0.0012627776806042913
2016-06-12T06:12:33.957000	6463.51967841626	6463.789004751781	[6462.70342918,6463.65523579]	[0.06387129,0.04702959]	[0.10160432,0.02494877]	[ 5.95931934,-0.04176672]	0.001267844461341501	0.2392598827211335	0.00415536348060847
2016-06-12T06:12:33.957000	6249.971152593782	6251.206034123194	[6250.4754632 ,6250.89504076,6251.02279591]	[0.00646287,0.00057852,0.00162989]	[0.17432854,0.04750664,0.00677676]	[-0.3848748 ,-0.14658052, 0.81235577]	0.0008693605512834719	0.4105123422168021	0.0042021791501322655
2016-06-12T06:12:33.957000	5793.873194243168	5796.319415342803	[5785.1]	[0.1]	[0.1]	[2.]	0.0034666178598829513	0.23548200450309495	0.0
2016-06-12T06:12:33.957000	6078.981430274704	6721.443829750302	[6411.19999998]	[0.0148766]	[294.186875]	[-0.8291895]	0.04233326000247397	692.7571502312557	7.743771539237494
2016-06-12T06:12:33.957000	6519.392762096331	6519.878941682482	[6521.21902948,6520.43166478,6519.6705241 ]	[0.05799881,0.00270039,0.09923109]	[0.11776561,0.00168828,0.04202876]	[-1.55860072, 0.66446201, 0.48164716]	0.002957378760292306	0.27731680934190905	0.015652164759480204
2016-06-12T06:12:33.957000	6403.401570302874	6497.426398451332	[6460.38667271,6460.16196025,6461.39995283]	[0.01303337,0.01926499,0.01597478]	[2.04884127e-02,1.92178493e-02,7.89000866e+02]	[-0.09841308,-0.23934242,-3.0093767 ]	0.019843987905074613	1857.9550545923767	1.4288871570925588
2016-06-12T06:12:33.957000	5810.962158347794	5811.471321053213	[5821.2]	[0.1]	[0.1]	[2.]	0.001208763238185724	0.23548200450309495	0.0
2016-06-12T06:12:33.957000	6377.806681630774	6380.2574355479255	[6378.99770084,6379.10303363]	[0.00080681,0.06705064]	[0.08109038,0.17790487]	[-4.62471656, 0.75362176]	0.001640444197704229	0.418933944119558	0.058667490395886424
2016-06-12T06:12:33.957000	5989.274688016265	5989.6084079129905	[5989.28428438,5989.42055904,5989.47786712]	[0.01361498,0.01752011,0.033781  ]	[0.0016004 ,0.01952505,0.02269443]	[-2.20736346,-0.11571499, 0.62814774]	0.0002709371414730803	0.05344129124496859	0.0042851429723413745
2016-06-12T06:12:33.957000	6111.534139702803	6114.315619052783	[6113.45382501,6113.03062253,6112.74635791]	[0.00154117,0.00352   ,0.00963905]	[0.09918562,0.03010437,0.22123788]	[-0.63266288, 0.07127509,-0.57272622]	0.0011339430894415014	0.5209754058339453	0.009400304673671771
2016-06-12T06:12:33.957000	5772.548860858221	5772.922542210122	[5771.70050926,5771.99332742,5772.6907353 ]	[0.00024348,0.06443047,0.00455665]	[13.72857653, 0.08079131, 0.04202638]	[-5.7449053 ,15.25409607,-1.60687508]	0.000799178826641158	32.32832719810685	0.0015146897206967174
2016-06-12T06:12:33.957000	6232.815674255497	6234.720604875321	[6233.90315248,6233.4486817 ,6233.99094499]	[0.00696236,0.00962362,0.00309266]	[0.03011598,0.24391904,0.03384302]	[ 0.15671442,-1.11080043,-0.47604674]	0.0008544521114845383	0.5743854426571244	0.012937438096203638
2016-06-12T06:12:33.957000	6398.484219742132	6449.7023288178	[6413.40672746,6415.09915274,6414.13691849]	[0.00623968,0.0078044 ,0.00029018]	[3.70538677e-01,2.47914727e+01,1.99056275e-02]	[-0.53671564, 0.51879539, 0.86659059]	0.007280736256001489	58.379456975942425	0.330896340269492
2016-06-12T06:12:33.957000	6292.981589481484	6293.277892640675	[6293.17169275,6294.19943421,6292.22010726]	[0.1001868 ,0.05959237,0.00328777]	[0.02964783,0.01560185,0.00264966]	[1.56153638,5.46611378,8.89581938]	0.004599352207398063	0.06981531470278775	0.020559900907015986
2016-06-12T06:12:33.957000	6097.982912388958	6098.026041302093	[6108.]	[0.1]	[0.1]	[2.]	0.0005448756094571517	0.23548200450309495	0.0
2016-06-12T06:12:33.957000	6088.229661622258	6090.858835577775	[6089.41343162,6089.74360675,6089.90478136]	[1.91742201e-02,1.28518730e-02,1.39270659e-05]	[0.12472185,0.06044686,0.02365369]	[-0.58198017,-0.05189535,-5.45336579]	0.0009470204247963495	0.29369750581838844	0.012349942190469768
2016-06-12T06:12:33.957000	6329.724401441243	6329.897059887831	[6329.8188082]	[0.01772316]	[0.01802763]	[0.22925261]	0.0018079485523597623	0.04245181733391079	0.0011351630691528011
2016-06-12T06:12:33.957000	6548.688804942623	6548.904472273311	[6548.80299663,6549.33229353,6549.56364706]	[0.15860934,0.02544535,0.04350302]	[0.02363027,0.0306067 ,0.04521115]	[-3.51440645e-03,-7.77000746e-01,-1.96314996e+01]	0.008537647016079938	0.10646411527085395	0.013675777108380102
2016-06-12T06:12:33.957000	6466.803988257343	6466.984869737047	[6466.79708658,6466.19402426]	[3.45863149e-08,3.92017190e-02]	[0.03278422,0.07439233]	[-12.58678195,  6.95005871]	0.003396017609374145	0.17518055683597594	0.0017309234761754123
2016-06-12T06:12:33.957000	5910.166242075364	5910.5525867960205	[5910.34943632,5910.42277823,5910.4815468 ]	[0.05355537,0.01366401,0.0126716 ]	[0.02208421,0.02376242,0.01348519]	[-0.03072095, 0.02217826,-0.23895337]	0.0008803851765224425	0.055956232732052726	0.005887746507857067
2016-06-12T06:12:33.957000	6056.278271804882	6058.048478210858	[6057.32828492,6057.44620409,6057.17655131]	[0.00185323,0.00094843,0.00326693]	[0.04710992,0.00152757,0.05911238]	[-0.41271724, 0.9174393 , 0.06150333]	0.0011116091820034418	0.13919901344373256	0.0010274240607823096
2016-06-12T06:12:33.957000	6195.254979897851	6196.199246642154	[6195.84734282,6195.61283537]	[0.0358937 ,0.05041445]	[0.06087577,0.08352172]	[ 0.24735671,-0.38722741]	0.000664009688748925	0.19667861147027252	0.02352280389877103
2016-06-12T06:12:33.957000	6210.867181098375	6211.947891514815	[6211.35528028,6211.96709516]	[6.07394555e-03,3.58932222e-06]	[0.06144857,0.16928631]	[0.499011  ,7.42956216]	0.0008746753384934977	0.39863879083520043	0.0033602132903601924
2016-06-12T06:12:33.957000	5795.661965590981	5797.890734645688	[5796.63872312,5796.8247026 ,5796.98572671]	[0.05567578,0.01948746,0.04329804]	[0.08708089,0.072558  ,0.22182741]	[ 0.19067424,-0.84154091, 0.08544663]	0.0017036497050315895	0.5223636326670659	0.057963813128425495
2016-06-12T06:12:33.957000	6395.166399641696	6398.378674765213	[6397.09722547,6396.79377358,6396.45341217]	[0.01286988,0.00271496,0.01437725]	[0.32817871,0.00741829,0.16781337]	[-0.2011656 , 0.13997696, 0.25429742]	0.002047050167705045	0.7728018093711383	0.02351009484548171
2016-06-12T06:12:33.957000	6366.364114546784	6367.699355126929	[6367.26797401,6367.37989595,6366.93156371]	[0.00738124,0.00213578,0.01347177]	[0.0772186 ,0.00501797,0.09656874]	[ 0.21755394,-0.3624037 ,-0.44505592]	0.0009242177011701265	0.22740200409560235	0.006927790098036319
2016-06-12T06:12:33.957000	6443.714589997403	6446.313087379559	[6445.44898937,6445.00068463]	[0.00755282,0.02301676]	[0.05263746,0.085461  ]	[-0.128287  ,-0.03091561]	0.0053477651090089295	0.2012452842722147	0.008430167526754647
2016-06-12T06:12:33.957000	6384.034677270658	6385.549750710437	[6384.7728028 ,6384.47646546,6384.94916403]	[0.00258101,0.00262642,0.00438399]	[0.01423722,0.06653695,0.13900033]	[-0.50091798,-0.52715296, 0.50119651]	0.0009525366060257786	0.32732076265610943	0.0031021699246548736
2016-06-12T06:12:33.957000	5974.897886256946	5975.664445616425	[5976.42397769,5975.25774602,5975.29669601]	[0.17875117,0.06411689,0.04855253]	[0.03960062,0.01870654,0.05259483]	[-0.22052149,-0.1874756 ,-0.27957908]	0.0018370957626330105	0.12385135928252893	0.013450911743113764
2016-06-12T06:12:33.957000	2521.8461256443243	9179.549484048093	[5841.69632608]	[4.67210083e-05]	[2.91216267e-06]	[-2.45181754]	0.38162318004694123	6.857619039425396e-06	0.0
2016-06-12T06:12:33.957000	5945.124102765874	5945.756618978425	[5945.12466385,5945.42364178,5945.48018197]	[0.00866865,0.03683383,0.03234589]	[0.01251652,0.02148996,0.01726284]	[ 1.51036453, 0.04830561,-0.14894276]	0.0038211407922955605	0.050604994617318266	0.004720598742483999
2016-06-12T06:12:33.957000	6149.674615727971	6150.297142738852	[6140.]	[0.1]	[0.1]	[2.]	0.0016039986729975632	0.23548200450309495	0.0
2016-06-12T06:12:33.957000	6184.60397423229	6184.809657682301	[6194.7]	[0.1]	[0.1]	[2.]	0.0009826496718636328	0.23548200450309495	0.0
2016-06-12T06:12:33.957000	5503.208444018021	5514.529228474263	[5506.05088676,5506.05429311]	[0.00263786,0.00326561]	[0.00214311,0.16633682]	[-0.63900582, 0.61037544]	0.008481145682957578	0.3916932759075623	0.0021787266491277778
2016-06-12T06:12:33.957000	5414.053502498675	5414.919049572252	[5404.5]	[0.1]	[0.1]	[2.]	0.007177045292721691	0.23548200450309495	0.0
2016-06-12T06:12:33.957000	5515.378117262178	5534.0004135164545	[5521.41444888,5521.61970397,5521.29489166]	[0.00169514,0.00603337,0.00086084]	[0.0473873 ,0.00301982,0.04092102]	[-0.09585276, 0.18555978, 0.69371347]	0.003785978363793429	0.1115885689572105	0.0004430463987968823
2016-06-12T06:12:33.957000	5543.582463008584	5545.957157175228	[5544.48093135,5545.06190135,5544.67837255]	[0.00838873,0.00941472,0.01143866]	[0.04753626,0.15333337,0.08289171]	[-0.26482918, 0.30733308, 0.19376445]	0.0009808969547790833	0.3610724818173811	0.010130967175934267
2016-06-12T06:12:33.957000	5501.7886418164735	5515.909029590744	[5504.3       ,5503.03826397,5504.3       ]	[4.94741002e-03,4.18407957e-03,4.70020971e-17]	[1.67902282e+00,4.11357677e-04,1.26452805e+00]	[ -0.65498763, -0.0829207 ,-28.37461017]	0.0034840405463988744	3.9537965817387453	0.08256931827698327
2016-06-12T06:12:33.957000	5511.767294055848	5513.09057157799	[5512.57707657,5512.63053636,5512.61828692]	[0.00836432,0.00078567,0.00029208]	[0.05025009,0.09314352,0.14183329]	[-0.15473746,-1.79856285, 4.0452589 ]	0.000694309901548611	0.3339918809020008	0.005105964869851212
2016-06-12T06:12:33.957000	5246.818448558529	5270.2256421761585	[5257.531557  ,5257.28170269,5256.40047463]	[0.01527117,0.01189811,0.00010902]	[1.47345813e+00,3.43723816e-04,3.53894661e+00]	[ 0.10657133, 2.36195142,-4.83299625]	0.002456582742701996	8.333582410198654	0.14262480899203658
2016-06-12T06:12:33.957000	5521.547887703479	5561.191548019296	[5542.05159434,5542.9       ,5541.54828116]	[0.0052641 ,0.013873  ,0.00435856]	[2.57057799e-03,4.25470944e+00,1.51642908e-01]	[-5.96951562,-0.03575696, 0.13359704]	0.0037617890756778813	10.019075073765578	0.2093608216133921
2016-06-12T06:12:33.957000	5136.313002926906	5200.606201760448	[5175.8891785,5175.9887751]	[0.00098143,0.00134283]	[0.00073246,0.00107667]	[0.80568114,1.7200229 ]	0.01091370052571993	0.002535358566830294	1.2743026650211687e-11
2016-06-12T06:12:33.957000	5475.706019319561	5509.430768844812	[5489.94659459,5490.26008633,5490.13040401]	[0.0059625 ,0.00472582,0.00600353]	[2.52165327e-01,1.77200749e-03,2.36555843e+00]	[-0.09708267, 0.05465351, 0.05505405]	0.006780492933864627	5.570464403197358	0.055857289464881006
2016-06-12T06:12:33.957000	5261.760876058716	5261.803391541552	[5251.8]	[0.1]	[0.1]	[2.]	0.00020552070466297475	0.23548200450309495	0.0
2016-06-12T06:12:33.957000	5070.802024258256	5076.232029625925	[5074.51427278,5074.42192184,5073.5       ]	[2.58770523e-03,5.39911240e-03,1.56693223e-17]	[0.50948918,0.00338859,0.12119999]	[ 2.72599285,-2.65012539,29.44990586]	0.004138558971725606	1.1997553348923713	0.03184455022634238
2016-06-12T06:12:33.957000	5527.545189198236	5558.394333329734	[5546.5194399,5545.4      ,5545.4      ]	[0.00133771,0.00042437,0.01050546]	[0.20545303,0.30337167,4.48049424]	[1.72303562,3.97765427,0.6105386 ]	0.003376553009801266	10.550757651336546	0.19410238117075643
2016-06-12T06:12:33.957000	5328.859660920156	5364.389209525501	[5349.65263426,5348.7       ,5349.80563217]	[5.79543610e-02,5.26844735e-18,4.38747697e-03]	[5.86154862e-04,7.86729193e-01,1.53302950e+00]	[ 2.13348618,29.72320392, 0.36388366]	0.004775397464277633	3.6100086072581585	0.04581785070384066
2016-06-12T06:12:33.957000	5473.408660610887	5509.16805810933	[5494.15862049,5493.97388104,5493.82011135]	[0.00712466,0.00218553,0.00758076]	[0.00129361,0.00223775,0.05349169]	[ 0.7853038 ,-0.75008048, 0.2256769 ]	0.014891202666466818	0.1259633115605234	0.0014909153408191882
2016-06-12T06:12:33.957000	5289.815762189323	5315.270716773251	[5303.87347817,5304.02723845,5304.02158792]	[0.00451158,0.00137115,0.01493598]	[3.07083648e-04,5.42068231e-04,2.77115808e+00]	[-0.9387614 ,-1.86551731, 0.37865695]	0.0024772341260806763	6.52557859030488	0.15252853755311885
2016-06-12T06:12:33.957000	5160.67535173687	5178.243907203731	[5170.22923934,5170.07402522,5170.69486308]	[0.00011478,0.00021489,0.01277579]	[8.84731515e-04,8.89549584e-04,2.07025139e+00]	[0.42691183,3.85403622,0.51050969]	0.0033932349234874547	4.875069467579987	0.100796119379883
2016-06-12T06:12:33.957000	5247.00552848372	5269.3985448899275	[5262.20046447,5262.17424804,5261.40000013]	[0.00106492,0.00023406,0.00749157]	[0.00609724,0.05177197,2.75799646]	[ 2.05558625,-2.18330921, 0.9467542 ]	0.0031468740479079138	6.494585338763579	0.09556722379440181
2016-06-12T06:12:33.957000	5424.06504818841	5424.188026883808	[5424.04343287]	[1.09046198e-18]	[0.02307608]	[-29.95623469]	0.0006718149153204713	0.05434001633270999	0.00017410347689297893
2016-06-12T06:12:33.957000	5060.996913672116	5061.516475067272	[5061.35766043,5061.24465083]	[0.0023269 ,0.01375014]	[0.0827225,0.018411 ]	[ 1.65543126,-0.13512689]	0.0006384334624110196	0.19479660924335773	0.0023156360775772136
2017-07-01T04:34:34.784000	5925.095346510666	5926.312368314378	[5925.90637859,5925.47387916,5925.60041431]	[0.00442639,0.003604  ,0.0033605 ]	[0.10035445,0.00352069,0.05970831]	[0.32574586,0.79256674,0.1694923 ]	0.0006998722004204722	0.2363166780561602	0.0023218940831925797
2017-07-01T04:34:34.784000	1314.0302645162456	10679.337067087006	[5986.61487617]	[0.00365757]	[0.00074084]	[-1.08550172]	0.5829657842012417	0.0017445375314900319	0.0
2017-07-01T04:34:34.784000	5987.332729962621	5990.794642781096	[5987.54181251,5988.07128398,5987.66035775]	[0.00181549,0.00294211,0.00181322]	[0.00169236,0.02460587,0.03773872]	[ 0.02520794,-0.28575191,-1.00789541]	0.0035719017761267294	0.08886790124816006	0.0006047521307442068
