# Observation date	Center [Å]	Width	Amplitude	Skew	RMSE	FWHM [Å]	EW [Å]
2015-07-21T00:15:43.265000	[4502.16712067]	[0.02475946]	[0.5309001]	[0.41408848]	0.004501923919873539	1.250174208009558	0.04915602227341769
2015-07-21T00:15:43.265000	[4682.77932404,4683.28819273,4682.87782123]	[0.00879532,0.02250832,0.02658519]	[1.00948679,0.19971926,0.05751491]	[-1.80241168, 0.42933576, 0.42524458]	0.0027981955724283953	2.377159736613391	0.09860433632531768
2015-07-21T00:15:43.265000	[4963.24553389,4962.90677376,4963.32749328]	[0.04369256,0.01536806,0.06827502]	[0.16643695,0.53137524,0.13112494]	[ 2.91255394,43.52484776,21.96237088]	0.0015290511521653522	1.2512930772468822	2.1143519177363417e-05
2015-07-21T00:15:43.265000	[4979.52477625,4980.6       ,4980.6       ]	[1.55994841e-02,2.80315288e-03,3.06837065e-16]	[1.48632097e-04,1.05251958e+00,7.89689090e-01]	[ -0.71676915, -1.07851696,-25.68296958]	0.0018149895275965703	2.4784942136929407	0.021138602689907016
2015-07-20T05:38:56.887000	[5780.6]	[0.1]	[0.1]	[2.]	0.0009803438110763142	0.23548200450309495	0.0
2015-07-20T05:38:56.887000	[5996.20706571,5995.97838398,5995.99354443]	[0.08427931,0.09162034,0.08968125]	[0.58751548,0.09389471,0.08336677]	[-34.25148096,-26.43137115, -3.25049911]	0.0007047033781786819	1.3834932381431748	6.202160962040482e-06
2015-07-20T05:38:56.887000	[6118.6]	[0.1]	[0.1]	[2.]	0.0012763754698257518	0.23548200450309495	0.0
2015-07-20T05:38:56.887000	[6438.50737929,6439.52333189]	[0.0039431 ,0.00449003]	[0.0431798 ,0.06119601]	[0.7367426 ,0.30480145]	0.0005946406167214139	0.14410559047270158	0.0009829833501160885
2015-07-20T05:38:56.887000	[5893.26686539,5893.82604189]	[0.00227377,0.00993594]	[0.04061492,1.95596753]	[2.52546871,1.42974456]	0.007246589287122477	4.6059515379879326	0.12227723902382337
2015-07-20T05:38:56.887000	[6613.6]	[0.1]	[0.1]	[2.]	0.003131223321256982	0.23548200450309495	0.0
2015-07-20T05:38:56.887000	[5912.7       ,5913.83744538]	[0.00369181,0.00873211]	[7.60234562,0.0342269 ]	[-1.62108299,-1.28154294]	0.007991408631178174	17.902155855479148	0.19594603885553752
2015-07-20T05:38:56.887000	[5923.33343226,5923.42583854,5923.55621353]	[0.02603548,0.01045985,0.01562101]	[0.02257513,0.01641541,0.03383309]	[-0.09843176,-0.20798842, 1.1500562 ]	0.0009696501716272719	0.07967083605409181	0.005374007596692315
2015-07-20T05:38:56.887000	[6220.6664851 ,6220.03873963,6220.27413956]	[1.73741705e-05,4.20217824e-02,5.98536282e-02]	[0.01771072,0.11135518,0.11064399]	[-5.63996808,14.89669246,19.89096398]	0.0009160103554297309	0.2622214186996264	0.00012471242686508762
2015-07-20T05:38:56.887000	[5925.8]	[0.1]	[0.1]	[2.]	0.0006847761208016412	0.23548200450309495	0.0
2015-07-20T05:38:56.887000	[5752.5086919 ,5753.11263012,5753.38740018]	[0.0047052 ,0.00080212,0.00329215]	[6.55633396e+00,6.66725387e-05,6.16402606e-02]	[ 1.91248654,-0.55509185,-0.20942048]	0.007474477206396667	15.43898662754996	0.26791962534766844
2015-07-20T05:38:56.887000	[5947.01264701]	[5.7946209e-08]	[0.04254494]	[-10.59707641]	0.0003291374255379309	0.10018568262379629	0.0003226566329223447
2015-07-20T05:38:56.887000	[6449.26812895,6448.55090627,6449.15087449]	[0.00134953,0.00292249,0.0154325 ]	[0.00040697,0.0001949 ,0.00092037]	[-0.4205999 ,-0.19951393,-1.4558541 ]	0.3841799256044246	0.002167308197432445	1.0405944462923768e-15
2015-07-20T05:38:56.887000	[5817.48901931,5817.86342476,5817.37310772]	[0.00284462,0.00496127,0.00331884]	[0.02264896,0.00071112,0.01656545]	[0.09783889,1.40157961,0.48458326]	0.00498331129349967	0.05333422394699644	0.00044562275279982477
2015-07-20T05:38:56.887000	[6417.9       ,6418.57357123,6419.87069381]	[7.93289671e-03,2.48182426e-03,9.44904802e-06]	[6.91041916e+00,9.92228317e-04,1.91327782e-01]	[0.61302534,0.24050406,5.1200081 ]	0.0033566391966515234	16.272793557685453	0.21599362570635713
2015-07-20T05:38:56.887000	[6102.3]	[0.1]	[0.1]	[2.]	0.0018691803466525342	0.23548200450309495	0.0
2015-07-20T05:38:56.887000	[5973.80322791,5973.38887475,5973.60521489]	[0.00393131,0.00091838,0.00201084]	[0.00224036,0.01536397,0.04511104]	[ 0.01513086,-0.59223921, 0.41722412]	0.0048087798489179065	0.1062283715242389	0.00041748211076757767
2015-07-20T05:38:56.887000	[6284.17775908,6282.9       ,6283.51014856]	[0.05810246,0.00246525,0.07021347]	[0.02990195,2.41391169,0.03335737]	[-0.90126948, 4.07028985, 1.53246532]	0.051941913385465166	5.684327626929218	0.4657031349832074
2015-07-20T05:38:56.887000	[6375.89125761,6375.47892598]	[0.00265866,0.00319892]	[0.01437067,3.53010624]	[-0.26147644,-0.50665478]	0.0016844859192609713	8.312764938684303	0.04296048840448623
2015-07-20T05:38:56.887000	[6192.8]	[0.1]	[0.1]	[2.]	0.00015799738432732745	0.23548200450309495	0.0
2015-07-20T05:38:56.887000	[6034.6       ,6035.72785557,6035.89184728]	[0.00856638,0.00078572,0.00078837]	[2.61446088e+00,2.36916537e-02,7.50169102e-04]	[ 0.77412699,-1.16857614,-2.73278693]	0.002866570756177422	6.156584888295171	0.09563489485189212
2015-07-20T05:38:56.887000	[6215.62141642,6215.99723626,6215.8236073 ]	[0.00211621,0.00630115,0.00091396]	[0.01652564,2.43690062,0.01300532]	[-0.18694018, 0.18938433,-1.32183214]	0.0029107406422517186	5.738462424040939	0.05505793796298672
2015-07-20T05:38:56.887000	[6185.55220094,6184.87773971,6186.7999969 ]	[0.00270033,0.06802784,0.05030493]	[2.29221357e-02,2.25068549e-02,6.04246599e-06]	[ -0.68027916,-27.33332714, -6.16804424]	0.0010066299366878531	0.05397750452193098	0.0002524100585612841
2015-07-20T05:38:56.887000	[6116.9]	[0.1]	[0.1]	[2.]	0.000766018401634201	0.23548200450309495	0.0
2015-07-20T05:38:56.887000	[5988.22989778]	[0.08391205]	[0.02529461]	[1.98077945]	0.000661287045559057	0.059564262373468485	0.0
2015-07-20T05:38:56.887000	[5785.1]	[0.1]	[0.1]	[2.]	0.0007285492519460895	0.23548200450309495	0.0
2015-07-20T05:38:56.887000	[6411.2       ,6410.09457469]	[0.00944588,0.00331396]	[4.48555525,0.01248373]	[ 0.18864133,-0.24630781]	0.0033292979517750405	10.562675409206388	0.1515715834657743
2015-07-20T05:38:56.887000	[5948.7266683 ,5948.20760364,5948.85118716]	[0.02008901,0.01371868,0.03550341]	[0.00516073,0.07566442,0.02183276]	[12.16556152,17.10059284,-0.20215146]	0.000505271186879469	0.17817609758815098	0.002734811015825598
2015-07-20T05:38:56.887000	[6325.36896445]	[0.07647505]	[0.01388943]	[1.97307923]	0.0007004153042715093	0.03270710960151003	0.0
2015-07-20T05:38:56.887000	[6460.11318074,6460.34779515]	[0.00328454,0.01463291]	[0.00090141,0.00041449]	[1.2140393 ,0.72978529]	0.008890898856931765	0.002122656254544987	4.883836865003099e-14
2015-07-20T05:38:56.887000	[5822.1976957]	[0.00581836]	[1.64204996]	[-2.40812986]	0.001546979895031323	3.8667321599797604	0.00019213460984798572
2015-07-20T05:38:56.887000	[6287.4744875 ,6287.40347266]	[0.02430989,0.108463  ]	[0.03291929,0.00319998]	[2.40695422,0.44459806]	0.0016015790005447959	0.07751900368531232	0.011759612051377304
2015-07-20T05:38:56.887000	[6211.90000003,6212.7420465 ]	[0.00234863,0.00667293]	[3.77257890e+00,3.77672577e-04]	[-1.63961812, 0.39548565]	0.0035354131318567515	8.883744404813443	0.06506519047073249
2015-07-20T05:38:56.887000	[6380.05853493,6379.06239236,6378.85628445]	[0.00225294,0.00228492,0.01628039]	[1.22616316e+00,1.37620309e-02,1.65794843e-04]	[-0.08200823, 0.3357218 ,-0.24491971]	0.0019333849785907848	2.8873935984296417	0.009874202785334081
2015-07-20T05:38:56.887000	[5988.85347252,5989.17800592]	[1.15219664,0.04588658]	[7.72232854,3.48130345]	[190.02774248,116.45237598]	0.00017792925178374024	18.184694046567724	1.032286810895691e-06
2015-07-20T05:38:56.887000	[5921.41217008,5922.11950806]	[7.84366904e-02,1.64597657e-08]	[0.40687723,0.02850884]	[ 20.03426322,-12.99675297]	0.00210884534952322	0.9581226544368768	0.001182998667366563
2015-07-20T05:38:56.887000	[6113.1]	[0.1]	[0.1]	[2.]	0.0008119905320215919	0.23548200450309495	0.0
2015-07-20T05:38:56.887000	[6233.83259578,6234.01971129,6234.99983965]	[0.0011128 ,0.00018752,0.00029878]	[2.26060171e-02,5.95512009e-04,1.80339053e+00]	[-0.62709448, 2.74568798, 3.56687429]	0.001977047872443992	4.246660163448032	0.02379752434646852
2015-07-20T05:38:56.887000	[6089.9]	[0.1]	[0.1]	[2.]	0.0062604174565275734	0.23548200450309495	0.0
2015-07-20T05:38:56.887000	[6226.3]	[0.1]	[0.1]	[2.]	0.0007639145772146004	0.23548200450309495	0.0
2015-07-20T05:38:56.887000	[5910.36860647,5909.60792281,5910.0918343 ]	[9.23694477e-16,1.12410959e-02,6.54793676e-02]	[0.0229809 ,0.03197048,0.1227798 ]	[-25.87853827, 11.87849602, 19.32495166]	0.002759594839490214	0.28912432979561753	0.0006998552543631878
2015-07-20T05:38:56.887000	[6057.5]	[0.1]	[0.1]	[2.]	0.0009752126844103753	0.23548200450309495	0.0
2015-07-20T05:38:56.887000	[6195.9]	[0.1]	[0.1]	[2.]	0.002114866609043239	0.23548200450309495	0.0
2015-07-20T05:38:56.887000	[6210.70000654,6211.76537426]	[0.00102784,0.00691612]	[3.66339242,0.90599916]	[-2.53743002, 0.35175361]	0.00229643171516336	8.626629908167162	0.08003014583355225
2015-07-20T05:38:56.887000	[6015.26598854,6014.65299886]	[1.42515382,0.0038147 ]	[1.73855157,0.03289152]	[-38.44324484,  0.24573466]	0.0007230672545014955	4.093976079782174	0.00045045748476020753
2015-07-20T05:38:56.887000	[6445.2]	[0.1]	[0.1]	[2.]	0.00042663915827324307	0.23548200450309495	0.0
2015-07-20T05:38:56.887000	[5975.54414395,5976.7       ]	[0.00314571,0.00946579]	[1.93989515e-03,7.27395739e+00]	[2.30294763,0.0374912 ]	0.0036900948032442867	17.128860661736596	0.21326675707557363
2015-07-20T05:38:56.887000	[5945.33295083,5945.81286922]	[0.01340346,0.07132654]	[0.0132041 ,0.07422469]	[ -0.14806072,-13.93705   ]	0.002335603593386423	0.1747857767760834	0.0006172189108572448
2015-07-20T05:38:56.887000	[6194.7]	[0.1]	[0.1]	[2.]	0.002454831275678037	0.23548200450309495	0.0
2015-07-20T05:38:56.887000	[5404.5]	[0.1]	[0.1]	[2.]	0.0010382746687129182	0.23548200450309495	0.0
2015-07-20T05:38:56.887000	[5522.2978851 ,5522.58806217]	[4.85194665e+00,2.63120779e-03]	[0.39874003,1.8940841 ]	[-39.71108154, -3.07828116]	0.0008404710859115438	4.460227198927435	6.931150054782404e-05
2015-07-20T05:38:56.887000	[5544.31960522,5544.3443769 ]	[0.001006  ,0.00756863]	[0.01724021,3.46521581]	[-0.15388922, 0.63844922]	0.0016199660924284553	8.159959648465426	0.10568170666074247
2015-07-20T05:38:56.887000	[5503.3]	[0.1]	[0.1]	[2.]	0.000978482853411729	0.23548200450309495	0.0
2015-07-20T05:38:56.887000	[5258.39999994,5257.52629507]	[0.00724291,0.00036611]	[1.57237626,0.03609154]	[0.02145307,0.72850613]	0.00476873800385164	3.7026631363650213	0.04084027093220581
2015-07-20T05:38:56.887000	[5516.05854362]	[0.00289037]	[0.00043718]	[3.00399711]	0.2717702088287993	0.0010294912293291301	0.0
2015-07-20T05:38:56.887000	[5541.66809149,5541.62145014]	[0.0075897 ,0.00236295]	[1.83448227,0.00190776]	[ 0.25079927,-0.32071978]	0.0017197941589053806	4.319875614168236	0.05062652251086218
2015-07-20T05:38:56.887000	[5176.92363793,5175.8660196 ,5177.1       ]	[0.00094761,0.00056561,0.00222497]	[3.01285617e+00,1.46216559e-04,9.12014555e-01]	[-0.76986037,-0.68802855, 1.17253795]	0.0011319891188704206	7.094734104207003	0.01876284511659807
2015-07-20T05:38:56.887000	[5490.15671437,5490.45122387,5491.39994716]	[0.00252168,0.00860558,0.003961  ]	[2.32043688e-03,8.25555457e-01,3.09295325e+00]	[-0.13118864, 0.29785546,-1.46960443]	0.0018283238568799329	7.2833483173253795	0.10558289055627224
2015-07-20T05:38:56.887000	[5568.54052873,5568.67797086,5568.9816151 ]	[6.75560239e-03,1.98017387e-03,1.65117522e-07]	[0.00061587,0.00160662,0.00069527]	[1.23852935,0.29784175,0.11423664]	0.005456159678366896	0.003783310709250862	5.000505248828278e-09
2015-07-20T05:38:56.887000	[5443.2]	[0.1]	[0.1]	[2.]	0.005988175651742348	0.23548200450309495	0.0
2015-07-20T05:38:56.887000	[5074.5]	[0.1]	[0.1]	[2.]	0.0008510571176388321	0.23548200450309495	0.0
2015-07-20T05:38:56.887000	[5545.40001296,5547.13564318,5546.85802507]	[0.00700073,0.00060509,0.00013871]	[4.04000265e+00,1.91478465e-05,1.02581702e-02]	[ 0.7834853 ,-3.58356904,-2.21085776]	0.0016751664367563336	9.513479231250622	0.12001018096237148
2015-07-20T05:38:56.887000	[5349.18224645,5349.29381854,5350.039483  ]	[0.00890835,0.00394381,0.0006156 ]	[2.60655639e+00,3.22241183e-04,8.24552797e-03]	[ 0.43543033,14.34723566, 0.34946318]	0.00219061073503672	6.137971234719951	0.08711225155340074
2015-07-20T05:38:56.887000	[5493.57954378,5495.19993121,5493.96194905]	[8.81083114e-03,2.45090622e-18,5.23182563e-03]	[2.59119400e+00,1.30289287e+00,1.14201463e-03]	[-0.42229018,29.87232141, 0.79584538]	0.0016492331321283015	6.1017955617741775	0.10550474262732745
2015-07-20T05:38:56.887000	[5305.2       ,5303.51096551]	[0.01658769,0.00325091]	[3.49681737e+00,9.42328524e-04]	[ 0.33482407,-1.96769513]	0.0028257402602760657	8.234375648090193	0.21278983953389052
2015-07-20T05:38:56.887000	[5170.4]	[0.1]	[0.1]	[2.]	0.00033740823242496993	0.23548200450309495	0.0
2015-07-20T05:38:56.887000	[5262.47875428,5261.40000405]	[0.00165151,0.00422229]	[1.33949519e-05,2.24188850e+00]	[-0.39776339, 1.02271349]	0.00498603927909211	5.279243968916207	0.04629224335136033
2015-07-20T05:38:56.887000	[5424.2]	[0.1]	[0.1]	[2.]	0.00030673338279133016	0.23548200450309495	0.0
2015-07-20T05:38:56.887000	[4964.28877375]	[0.01233253]	[4.27935078]	[0.26729931]	0.005287903478796928	10.077100999560388	0.1875811622169636
2015-07-21T00:09:32.404000	[8439.16485342,8439.27892263,8440.3       ]	[7.79328507e-06,6.50407159e-03,3.87350870e-02]	[8.81371991e-05,1.94494818e-03,1.39630259e+01]	[1.14956374,1.35604012,0.45473435]	0.01716343559477257	32.880413242525115	1.9239520550225189
2015-07-21T00:09:32.404000	[8026.43116873,8026.29076649,8026.84399002]	[0.01378795,0.00907574,0.01026718]	[0.05115621,0.02475079,0.1583378 ]	[0.86780979,0.20136795,0.18945246]	0.004184587961977817	0.37285702769281104	0.009333937790662583
2015-07-21T00:09:32.404000	[6765.23801568,6764.94137835,6765.77101622]	[2.39627816e-03,9.44956107e-04,9.74534966e-05]	[0.01220877,0.00682863,0.01831999]	[-0.14769885,-0.72045761, 4.1181249 ]	0.00371450463796992	0.04314027725903453	0.00028195045772640273
2015-07-21T00:09:32.404000	[7277.7       ,7277.04748117,7276.45611071]	[0.03281401,0.14707628,0.04860664]	[2.32782773,0.03669662,0.02167382]	[-0.9427502 , 1.17871575,-0.14529321]	0.03710558074531657	5.481615395997088	0.38339288060023824
2015-07-21T00:09:32.404000	[7722.82569411,7722.1863782 ,7722.89577145]	[2.93140923e-03,1.00629424e-05,4.47660700e-04]	[4.01742035e-05,6.64126640e-01,1.52443840e-04]	[-1.23846528, 7.0412798 , 2.00413218]	0.0192228967080017	1.563898723247311	0.012506917214906143
2015-07-21T00:09:32.404000	[6770.01858138,6770.1857855 ,6769.88498191]	[0.00557653,0.12755672,0.00596034]	[0.03021216,0.00524038,0.04839761]	[-0.29173855,-1.94578504, 0.19461755]	0.0007925549080893097	0.11396765412004796	0.0016475130762622068
2015-07-21T00:09:32.404000	[6740.1       ,6741.15248998]	[0.01726127,0.00369237]	[1.04321439,0.01326503]	[ 1.07358773,-0.89885893]	0.0083519220424693	2.4565821611952097	0.08890744523584604
2015-07-21T00:09:32.404000	[6993.85609636,6993.15246583,6992.51353604]	[0.12845657,0.04604723,0.04252602]	[0.01797496,0.02652166,0.08610772]	[-3.15422215, 0.03503332,14.25272971]	0.0017564103496378312	0.20276817933792532	0.004275975208395189
2015-07-21T00:09:32.404000	[6972.96997474,6972.9       ,6974.07563611]	[1.22993653e-02,4.78656715e-17,1.78539428e-03]	[1.14773182,0.72330376,0.07781799]	[ 0.52983652,28.52496211, 1.8571303 ]	0.008675084036480697	2.702701897967564	0.09003413350760472
2015-07-21T00:09:32.404000	[7562.64400761]	[0.00082659]	[0.00015129]	[3.67179302]	0.47635063889377627	0.0003562490729440011	0.0
