# Observation date	Center [Å]	Width	Amplitude	Skew	RMSE	FWHM [Å]	EW [Å]
2015-09-20T01:47:39.845000	[6118.7322462 ,6118.21388077,6118.58098536]	[0.00219967,0.00516193,0.00426674]	[0.02367774,0.14335946,0.03625489]	[-0.26016647,-0.7498155 , 0.15621231]	0.0010617213416330487	0.3375857202256699	0.0038680333165804714
2015-09-20T01:47:39.845000	[6439.35436227,6439.60241565,6439.15865354]	[0.0196765 ,0.00975837,0.01911882]	[0.05570729,0.08815836,0.10521922]	[-0.11055445, 1.07382759, 0.5489513 ]	0.00172517808198882	0.2477723191500024	0.016029946833313994
2015-09-20T01:47:39.845000	[5762.7293289 ,5762.39801145,5762.62418586]	[0.00798257,0.01924631,0.01462344]	[0.02380969,0.10149484,0.03793237]	[ 0.22107677,-0.22904118,-0.11902754]	0.0017234392577227524	0.23900208315767027	0.009611527412643784
2015-09-20T01:47:39.845000	[5844.75744856,5844.60317196]	[0.00334095,0.00801608]	[0.00245185,0.08182584]	[-0.87996758,-0.20157425]	0.0010723925913177486	0.19268513884497881	0.0023733094578343096
2015-09-20T01:47:39.845000	[6613.11911085,6613.56647603,6613.64607591]	[0.06647831,0.00027088,0.16426631]	[0.09037532,0.07796235,0.26614149]	[ 0.87972633,-4.69477943, 0.62903317]	0.00701817559860057	0.6267153130004754	0.20055954961173852
2015-09-20T01:47:39.845000	[6488.77532789,6489.94670575,6489.94670575]	[0.01537132,0.00201088,0.00201088]	[0.03832674,0.05148243,0.05148243]	[1.91467986,1.93832306,1.93832306]	0.0010778156635626486	0.1212318515021445	0.005509907723543862
2015-09-20T01:47:39.845000	[6145.46513104]	[0.00511007]	[0.03150352]	[0.07570081]	0.0007642944599837165	0.0741851236181914	0.000563099508680651
2015-09-20T01:47:39.845000	[5913.90379051,5913.10779295,5913.8103012 ]	[0.00410483,0.09346328,0.0466253 ]	[0.06267206,0.2460326 ,0.01961637]	[ 2.05727773,24.42986442,-0.14746396]	0.0009988767278529644	0.5793624998408176	0.005826719239861203
2015-09-20T01:47:39.845000	[5923.46616088,5923.31946255,5923.34351305]	[0.08108046,0.04187206,0.00031297]	[0.02316617,0.06149107,0.03664503]	[ 0.38263829,-0.55961362, 5.86787364]	0.026611642099761974	0.14480041572276844	0.023006790710763413
2015-09-20T01:47:39.845000	[6220.8]	[0.1]	[0.1]	[2.]	0.004343475855077099	0.23548200450309495	0.0
2015-09-20T01:47:39.845000	[6622.7]	[0.1]	[0.1]	[2.]	0.003353411211403801	0.23548200450309495	0.0
2015-09-20T01:47:39.845000	[5719.43662661,5719.35897796,5719.14733491]	[0.01068793,0.01287109,0.0345357 ]	[0.03140327,0.01744253,0.07045611]	[ 0.08146037, 0.2159303 ,-0.61456973]	0.003860677764379473	0.16591146274437782	0.011360187944453166
2015-09-20T01:47:39.845000	[5926.0680513]	[0.01026736]	[0.00018729]	[-3.00042627]	0.5671270765979006	0.0004410375293899497	0.0
2015-09-20T01:47:39.845000	[5754.35240388,5753.29826417]	[0.00373632,0.00089151]	[8.12389317e-05,2.47466209e-04]	[-1.25196152, 6.4977872 ]	0.02070657158266965	0.0005827383899576731	0.0
2015-09-20T01:47:39.845000	[6425.47322138,6425.62705949,6425.32109982]	[2.54811832e-05,1.14544560e-02,2.11586957e-02]	[0.03127237,0.06478591,0.1552382 ]	[ 5.58029086,-0.08843568,-0.59608511]	0.0012551524464408104	0.3655580328965598	0.015856947854848025
2015-09-20T01:47:39.845000	[5828.12494304,5828.68662895,5828.51351734]	[0.01099795,0.00461725,0.00886997]	[0.15362572,0.06684257,0.05359998]	[-0.58338427,-0.23445944, 0.06230397]	0.0011251934186540633	0.361760930961006	0.009335347966373303
2015-09-20T01:47:39.845000	[5760.64018363,5760.29351093,5760.20088882]	[0.00390827,0.00583118,0.00017971]	[0.00073606,0.07092257,0.03686564]	[0.70825767,0.10379218,3.62128136]	0.0006392146713977396	0.167009883318929	0.0017685427898313478
2015-09-20T01:47:39.845000	[6543.25793288,6542.11637226,6543.45698131]	[2.85902703e-04,1.50098109e-05,1.42229514e-01]	[1.00556587,2.41681646,0.0388784 ]	[-5.66005332, 0.83398162,-0.74166073]	0.0032553410494492274	5.691167854136367	0.023692748431342378
2015-09-20T01:47:39.845000	[6059.18861833,6059.33109236,6058.8784019 ]	[0.00278648,0.00240684,0.00640669]	[0.02230867,0.02528209,0.13782857]	[-0.60155836, 0.40937547,-1.11634189]	0.0006875007465081773	0.3245614903979244	0.00497102097849661
2015-09-20T01:47:39.845000	[5947.26453328,5946.3       ,5946.7231591 ]	[6.87130175e-03,2.90719983e-18,5.46598304e-02]	[1.80080133e-05,1.22744610e+00,3.35135569e-02]	[ 0.18505552,31.03506247, 1.52304231]	0.02295321655458089	2.8904146791359375	0.11133339687442316
2015-09-20T01:47:39.845000	[6203.28103407,6202.95013657,6202.27951668]	[0.01318758,0.02229383,0.03203582]	[0.08996413,0.16198242,0.39819357]	[-0.24149817,-0.29068053,-0.72240651]	0.0014031140670729943	0.9376742114968564	0.07019986708793709
2015-09-20T01:47:39.845000	[6065.22012374,6064.90337811,6065.03305226]	[0.01209515,0.01056009,0.00958221]	[0.05970764,0.07840429,0.048629  ]	[ 0.12288615,-0.18039824,-0.25947528]	0.0008148554132517666	0.1846280021140765	0.007185017690737352
2015-09-20T01:47:39.845000	[6449.14734141,6449.50664779,6448.85353606]	[0.01646255,0.00314803,0.01359423]	[0.04925466,0.20658359,0.08563885]	[-0.3065445 , 2.06445114, 0.14377899]	0.0011890809205810486	0.4864671843063927	0.013795064230501445
2015-09-20T01:47:39.845000	[5817.82111955,5817.28810032,5817.33607781]	[0.00299103,0.00777297,0.00688853]	[0.04175002,0.00371713,0.1281822 ]	[ 0.08028371,-0.34390471,-0.50112946]	0.0009798668873181036	0.3018460189090359	0.0038777479294395925
2015-09-20T01:47:39.845000	[6536.30482484,6536.35536602]	[0.00874909,0.02218069]	[0.02247315,0.05485216]	[-0.20807917, 0.99056363]	0.0013558318385742643	0.12916697159358678	0.006364666803698583
2015-09-20T01:47:39.845000	[6419.21425726]	[0.00677828]	[0.00081122]	[1.29076884]	0.10865851830846263	0.0019102847696438922	6.277699416122841e-14
2015-09-20T01:47:39.845000	[6358.57393937,6358.33430544,6358.15862375]	[0.01318938,0.00383732,0.00080977]	[0.00370355,0.00136474,0.02019513]	[-0.28836636,-1.72637058,-0.06361614]	0.003510801353276959	0.04755589389382305	0.00014400953448494514
