# Observation date	Center [Å]	Width	Amplitude	Skew	RMSE	FWHM [Å]	EW [Å]
2016-06-12T06:12:33.957000	[6019.11733747]	[0.16056663]	[0.04746153]	[2.0054018]	0.00219834522922798	0.11176336099285254	1.1439101337786161e-05
2016-06-12T06:12:33.957000	[5780.62142006,5780.38035761,5780.7458243 ]	[0.09319357,0.003733  ,0.00300841]	[0.66586884,0.06339547,0.00353592]	[0.4538694 ,1.06337438,0.21032781]	0.002908080862551857	1.568001298385841	0.2370137968726701
2016-06-12T06:12:33.957000	[5995.0457489]	[0.00453506]	[0.40824567]	[0.3405416]	0.011066525234181045	0.961345075527224	0.006739506667822396
2016-06-12T06:12:33.957000	[5705.00113951]	[0.00506714]	[0.00173353]	[-2.82250085]	0.02543256157770363	0.004082144366671459	4.4530131811738184e-08
2016-06-12T06:12:33.957000	[6439.34893872,6438.99009328,6439.55084408]	[0.01047123,0.00729304,0.00754266]	[0.08604451,0.09841232,0.06036519]	[ 0.33048718, 0.38754821,-0.07226823]	0.002144192886226292	0.2317432991423078	0.007569247627521955
2016-06-12T06:12:33.957000	[6270.]	[0.1]	[0.1]	[2.]	0.08415740962074084	0.23548200450309495	0.0
2016-06-12T06:12:33.957000	[5843.9       ,5843.93867657,5844.56104064]	[1.24902221e-17,5.26950380e-03,4.96560589e-03]	[1.52530867,1.10358331,0.10429905]	[28.37434894, 0.1063861 ,-0.24973312]	0.0015497312491759248	3.5918274218325927	0.022404755209271203
2016-06-12T06:12:33.957000	[6613.21347369,6613.29451836,6613.77613135]	[0.0016588 ,0.04314904,0.0645406 ]	[0.12704458,0.05859397,0.34322219]	[4.16625429,0.14211776,0.91578229]	0.0033030380150633203	0.8082264982020655	0.12149353088492501
2016-06-12T06:12:33.957000	[6489.33727085,6489.32563754,6489.1316274 ]	[0.03365828,0.03862795,0.00855842]	[0.04226733,0.02128741,0.00320241]	[0.76587588,0.19476288,2.05052183]	0.000975749710875273	0.09953194596894623	0.009003941921135246
2016-06-12T06:12:33.957000	[5922.5      ,5923.9035942]	[0.01399945,0.08354454]	[1.29880186e+02,7.82965367e-02]	[ 2.18240179,-0.17821798]	0.06332231403655174	305.8444654425388	0.8323523597929161
2016-06-12T06:12:33.957000	[6220.8]	[0.1]	[0.1]	[2.]	0.001231738758289069	0.23548200450309495	0.0
2016-06-12T06:12:33.957000	[5998.7       ,5997.49765113]	[0.97691018,0.03855449]	[1.10246475,0.02304892]	[-34.98808134, -0.35135576]	0.00046794072494541703	2.5961060933448286	0.0032459734307344035
2016-06-12T06:12:33.957000	[5719.69980524]	[0.02312524]	[0.02749328]	[-1.19985427]	0.0012675541840184565	0.06474173172989955	0.0033811556708425055
