# Observation date	Start [Å]	End [Å]	Center [Å]	Width	Amplitude	Skew	RMSE	R2	FWHM [Å]	EW [Å]
2016-08-13T03:32:39.662000	4370.191146823975	4374.39104257954	[4374.27119227,4372.2710947 ]	[0.11899429,0.8108991 ]	[0.0835965,0.4208169]	[0.42904683,0.17626948]	0.08091437034737793	0.9332704263321943	0.9909480702452267	1.4416524668123074
2016-08-13T03:32:39.662000	4494.868052253435	4495.428038354177	[4494.99641084,4495.30804084,4495.20804332]	[0.50984725,0.00610953,0.10055376]	[0.01558875,0.37054856,0.06735353]	[0.11155635,1.99999316,1.85573964]	0.20036033439641596	0.582385861681344	0.8725751698477551	0.14275956388946218
2016-08-13T03:32:39.662000	4499.107947016195	4504.1878209300685	[4501.56788645,4502.04251622,4500.28791822]	[0.70737337,0.25939587,0.27878565]	[0.32289447,0.38921682,0.2366509 ]	[-0.03924065,-0.35498118,-0.23908533]	0.06023810569220721	0.9589641021631784	0.9165355585736414	1.599552379434961
2016-08-13T03:32:39.662000	4667.743761353892	4669.583715684902	[4668.26374795]	[0.3396543]	[0.20799306]	[-0.85658378]	0.18364228250346828	0.40609523310272366	0.48978623155467527	0.4588324428041425
2016-08-13T03:32:39.662000	4682.183402951594	4682.70339004514	[4682.34893314]	[0.00020212]	[5.26190135e-06]	[-1.06318383]	2.2846679574413784	-1.4025856434120398	1.2390830784308903e-05	0.0
2016-08-13T03:32:39.662000	4682.583393023552	4683.343374160273	[4682.94338359,4683.06338359,4682.98397353]	[0.16052949,0.60984032,0.35577728]	[0.0505237 ,0.05780892,0.02512602]	[1.99999916,0.05195231,0.74791294]	0.0607146707958443	0.9610271602902345	0.13612959421914209	0.2686469662788979
2016-08-13T03:32:39.662000	4697.623019729191	4700.862939312055	[4699.24168613]	[0.88336727]	[0.37230431]	[0.11307344]	0.03402444390489409	0.9891045094061641	0.8767096550777393	1.2729584923934336
2016-08-13T03:32:39.662000	4734.222111313393	4735.262085500484	[4734.72209843]	[0.41979062]	[0.14633338]	[0.2456598]	0.16446522008125689	0.4467324556414142	0.34458878354964645	0.29703529167581016
2016-08-13T03:32:39.662000	4760.761452587838	4764.801352314618	[4761.14144365,4762.94139798]	[0.05420173,0.61038493]	[0.50369123,0.40499643]	[-2.        , 0.42526649]	0.06503428550407804	0.9488583569407961	1.1861022023934071	1.454701471964532
2016-08-13T03:32:39.662000	4778.021024192846	4781.780930869256	[4779.88097753,4779.700982  ]	[0.61416233,0.10315773]	[0.29901954,0.44422912]	[ 0.56754462,-2.        ]	0.055859598137473834	0.9698917306252346	1.0460796260595218	1.3040790878970652
2016-08-13T03:32:39.662000	4886.698326743966	4887.658302916667	[4887.19831483,4887.53560792]	[0.24802664,0.60537988]	[0.10177916,0.00636943]	[0.91977005,1.23859968]	0.20103302674456625	0.3830728320399701	0.23967159958519205	0.20502584751030828
