# Observation date	Start [Å]	End [Å]	Center [Å]	Width	Amplitude	Skew	RMSE	R2	FWHM [Å]	EW [Å]
2016-08-07T01:53:44.897000	4256.274010769732	4260.753604890209	[4259.09375347]	[0.49295837]	[0.57748111]	[0.55158992]	0.10956743094853957	0.7638625545998545	1.3598640917292126	1.4607665601841946
2016-08-07T01:53:44.897000	4363.18432402005	4364.544200806623	[4363.88426241,4363.66427872]	[0.56857282,0.74902043]	[0.05524114,0.09829824]	[0.29977975,0.2345562 ]	0.05736679516338592	0.9725047148935805	0.2314746642091509	0.4504456297224278
2016-08-07T01:53:44.897000	4498.712044352523	4504.8314898921035	[4503.79158593,4502.39170914,4500.83185047]	[0.03023868,0.36827708,0.05745274]	[0.13697456,0.72182907,0.39163502]	[-1.10396369, 1.14689509, 2.        ]	0.07582630068707498	0.9244726850592149	1.6997775654166238	2.0529046653830707
2016-08-07T01:53:44.897000	4658.777541407431	4661.697276860957	[4659.17750698]	[0.12849684]	[0.48514278]	[-2.]	0.19125271924711082	0.5635207848831596	1.1424239469471327	0.8233834299580165
2016-08-07T01:53:44.897000	4667.176780383326	4669.576562947868	[4668.35667167]	[0.75156192]	[0.19706698]	[-0.28942836]	0.06722343580526102	0.9400162307206162	0.464057265855707	0.5868553271585921
2016-08-07T01:53:44.897000	4679.095700453882	4681.095519257667	[4680.11560986]	[0.76845197]	[0.21302755]	[-0.03537706]	0.0859604957495211	0.9112664819356212	0.5016415460573073	0.6683323865568548
2016-08-07T01:53:44.897000	4682.17542141171	4683.775276454738	[4682.95534893,4682.81199214,4682.92623045]	[0.1743663 ,0.13201177,0.07809934]	[0.13508278,0.14586304,0.06268981]	[ 2.        ,-2.        ,-1.99993706]	0.042373728448870655	0.9840575940136769	0.34348121445746177	0.5011949995974146
2016-08-07T01:53:44.897000	4688.294866951292	4689.454761857486	[4688.8948144 ,4688.71483071]	[0.59573731,0.53682769]	[0.06877166,0.08804321]	[0.12854814,0.4062648 ]	0.0707839721804701	0.9458425475611667	0.20732590475144236	0.37942847731224283
2016-08-07T01:53:44.897000	4722.151799299361	4730.43104914703	[4726.31142422,4727.01135718]	[0.11065466,0.195204  ]	[0.89195426,0.65393267]	[-2.        , 1.99999996]	0.04429164900112517	0.9779483189659413	2.1003917762889075	2.4479197703099222
2016-08-07T01:53:44.897000	4733.990726617766	4735.190617900037	[4734.57067226,4734.66373585]	[0.33099737,0.63311321]	[0.05750288,0.12985019]	[-0.01679356,-0.00248229]	0.05051945849573408	0.9740288428156749	0.305773823534708	0.3893060046520048
2016-08-07T01:53:44.897000	4735.050630583772	4735.770565353135	[4735.67057857,4735.43059797]	[0.14954339,0.36005964]	[0.08610628,0.03320436]	[1.35796591,0.83963186]	0.2784642707481523	0.32051862682136967	0.20276479884327483	0.1888156535658549
2016-08-07T01:53:44.897000	4761.428240605689	4763.508052161625	[4763.31162362,4761.80065366,4761.96819349]	[0.63691906,0.12698849,0.17786813]	[0.00385388,0.01665664,0.30049278]	[-1.99235986, 0.21040419,-2.        ]	0.08799422338514058	0.8976220547072645	0.7076064204931067	0.633452307642585
2016-08-07T01:53:44.897000	4777.486785600078	4782.566325361691	[4780.38652105]	[0.6373802]	[0.61908487]	[0.57624497]	0.08944980621464978	0.9077814791790553	1.4578334682420844	1.8469064540759703
2016-08-07T01:53:44.897000	4817.123194291086	4817.803132684374	[4817.46476412]	[0.66205498]	[0.06611593]	[0.0450958]	0.14256048746600197	0.7481419468606747	0.15569111094340662	0.20769118353212185
2016-08-07T01:53:44.897000	4886.416915842218	4887.41682524411	[4886.58217355,4886.93687054,4887.15685061]	[0.29715163,0.55923551,0.22470764]	[0.01250795,0.0936893 ,0.04586517]	[-0.67713922, 0.61083801,-0.8688631 ]	0.13310971676079747	0.7770152252371162	0.22062143935462356	0.35507968636499593
2016-08-07T01:53:44.897000	4946.471474519866	4947.871347682515	[4947.77380613,4947.61136943]	[0.49673711,0.13857058]	[0.00392935,0.2593797 ]	[-1.9996407, 2.       ]	0.14879419875032016	0.699686569556701	0.6107925170604399	0.4399395634828107
2016-08-07T01:53:44.897000	4950.1311429307925	4951.730997973819	[4951.53101428,4951.46249318,4950.91716247]	[6.81316655e-02,2.41635876e-35,6.91095201e-01]	[0.22246108,2.64093491,0.11821252]	[ 1.99960978,-1.73948694, 0.15935385]	0.08272488412640504	0.928208444777669	6.218926455485929	0.5107505534701519
2016-08-07T01:53:44.897000	4958.950343855481	4960.190231513828	[4959.45029674]	[0.37504137]	[0.1866738]	[-0.87117345]	0.14785096427670547	0.6543951752697987	0.4395831996627554	0.4257968475767872
2016-08-07T01:53:44.897000	4961.2301372917955	4962.270043069764	[4961.73009018]	[0.703101]	[0.10906195]	[0.1828314]	0.12166772794276348	0.8172096823008301	0.25682126186930304	0.34888885754509374
2016-08-07T01:53:44.897000	4962.8899868989365	4964.609831070191	[4963.76990898,4963.60991986]	[0.58853104,0.51726704]	[0.17463671,0.11928504]	[-0.36992151, 0.09784117]	0.028539007448606837	0.9932373639615331	0.41123801661241655	0.6283549189564029
2016-08-07T01:53:44.897000	4964.789814762532	4965.429756779742	[4965.12978577,4965.14978034,4965.28977128]	[0.14302111,0.44962293,0.35829869]	[0.08596717,0.0453807 ,0.01365986]	[1.40778675,0.09320222,0.91847316]	0.14821820657644527	0.6801516451621692	0.2024372100840144	0.22431298377131792
