# Observation date	Start [Å]	End [Å]	Center [Å]	Width	Amplitude	Skew	RMSE	R2	FWHM [Å]	EW [Å]
2016-06-13T07:51:04.085000	4364.0680470653815	4364.788064948569	[4364.30805253,4364.62806147]	[0.43664023,0.61088208]	[0.05087835,0.02866061]	[-0.36872318,-0.8331354 ]	0.2947137312567788	0.45573297446430105	0.11980935861165157	0.14893595267686977
2016-06-13T07:51:04.085000	4370.7082119881115	4373.6682855078825	[4372.20824874,4372.4482557 ]	[0.2490905 ,0.67824727]	[0.33089969,0.19255302]	[1.0691477 ,0.28598444]	0.0542096032222576	0.9700987235670764	0.7792092150040617	1.0101843562799826
2016-06-13T07:51:04.085000	4499.5314115884385	4503.251503984908	[4499.75063907,4501.73146673,4500.49143593]	[1.54283337e-24,5.48011699e-01,1.83932383e-01]	[9.80042987,0.4324394 ,0.20201752]	[-0.12637017, 0.53814348, 0.75990816]	0.09435563956122531	0.875631834361188	23.078248716200576	1.4638490718760484
2016-06-13T07:51:04.085000	4667.335579364675	4669.7756399688105	[4668.63561215]	[0.65638229]	[0.2705389]	[0.26476641]	0.09275252362313754	0.8792397435377118	0.6370704278740791	0.7717173828417294
2016-06-13T07:51:04.085000	4682.39595342135	4682.955967330496	[4682.67022084]	[0.62716694]	[0.04150204]	[-0.09193072]	0.34343233635256165	0.3347389037634867	0.09772984425023498	0.1153736986147186
2016-06-13T07:51:04.085000	4681.535932060876	4684.376002600116	[4684.08476001,4682.03338917,4683.41597925]	[4.52832500e-01,1.35723346e-36,2.17983468e-01]	[0.00375838,0.52624447,0.38238232]	[-0.10310783,-1.2999767 , 1.82344489]	0.0795648682417681	0.9167510402142894	1.2392110254392608	0.8316586669945654
2016-06-13T07:51:04.085000	4697.796335922864	4699.996390565937	[4698.91636324,4698.99636324]	[0.11167941,0.59503259]	[0.20141434,0.23012349]	[-2.        , 0.73300889]	0.036769405378494206	0.9884217534620499	0.5418993980233068	0.8433560654782756
2016-06-13T07:51:04.085000	4721.436923087525	4731.517173452153	[4729.51712427,4730.61715159,4725.89703436]	[0.13157905,0.07928199,0.54769644]	[0.85523058,0.07536541,0.63643511]	[ 1.36597379, 0.44715382,-0.74618861]	0.05258183766699058	0.9596167542281722	2.013914122615231	2.5229902945490523
2016-06-13T07:51:04.085000	4762.69794789353	4763.377964783207	[4763.05795634]	[0.20994564]	[0.03693641]	[1.77031595]	0.2958896658906164	0.3236263438427216	0.08697859225038061	0.09872523315063064
2016-06-13T07:51:04.085000	4764.257986640437	4764.777999556072	[4764.5379931]	[0.29062056]	[0.05450701]	[1.05651648]	0.22244967994524573	0.4118128413232126	0.1283542024776366	0.11450056318724619
2016-06-13T07:51:04.085000	4764.177984653416	4765.338013465218	[4764.73799906,4764.4979931 ,4765.03800651]	[0.26791436,0.60186526,0.34802791]	[0.01978235,0.05572764,0.12077228]	[-1.03633661, 0.02648864, 1.04257028]	0.1181537647815185	0.802731032867851	0.28439698785267414	0.4476199582527542
2016-06-13T07:51:04.085000	4779.11835572956	4780.07837957381	[4779.28339318,4779.39703975,4779.61836753]	[0.36645098,0.24967262,0.40672706]	[0.01916967,0.01840711,0.12494236]	[-0.90507705, 0.037524  ,-0.63228904]	0.15623850531528113	0.6284738123090723	0.29421677259185947	0.3532638359485165
2016-06-13T07:51:04.085000	4963.222928361295	4964.182952205545	[4963.71783721]	[0.71870412]	[0.13633048]	[0.24168021]	0.09630080653942195	0.8831229516792874	0.32103374527910467	0.3892975289588757
2016-06-13T07:51:04.085000	4963.942946244483	4965.422983004368	[4964.70296462,4964.62296363]	[0.11344498,0.48821965]	[0.15893871,0.08939581]	[-2.        ,-0.11364103]	0.12993145125107952	0.7698063657447294	0.37427205231313665	0.4484979589851812
2016-06-13T07:51:04.085000	4965.822992939472	4966.383006848619	[4966.10130987,4966.26099976,4966.1204475 ]	[0.15836586,0.92475705,0.98678956]	[0.06332451,0.00529742,0.00489571]	[0.34064234,1.84781659,1.91004402]	0.2057308331220371	0.46660752706532815	0.14911783670276993	0.11487290726736704
2016-06-13T07:51:04.085000	4968.263053543609	4969.503084342432	[4968.94307093]	[0.57402551]	[0.14973082]	[0.31367884]	0.1354766510405359	0.7421914751527248	0.3525891474792633	0.41533943752697267
2016-06-13T07:51:04.085000	4979.023320797914	4979.903342655142	[4979.47173612,4979.61370647,4979.18332427]	[0.4831531 ,0.61484753,0.16455864]	[0.0168163 ,0.04062821,0.0849221 ]	[ 0.67927239, 0.02079216,-1.15471975]	0.17340029853223604	0.6104785108462986	0.19997626182899028	0.2855091332135059
2016-06-13T07:51:04.085000	4981.823390343642	4982.423405246299	[4982.10339896]	[0.59537981]	[0.03196082]	[0.16335763]	0.2948200611434471	0.37573660387393915	0.07526198722565051	0.11092032831289521
2016-06-13T07:51:04.085000	4984.363453431555	4984.923467340701	[4984.66346039,4984.63558128,4984.57373734]	[0.06965751,0.56759233,0.64480362]	[0.0484971 ,0.01411852,0.02979878]	[-1.99247844,-0.57632158,-0.15436396]	0.15029208867448657	0.7813738589013816	0.11420194601021824	0.14642994121426342
2016-06-13T07:51:04.085000	4981.963393820929	4986.203499133035	[4983.06342065]	[0.29079393]	[0.49525899]	[-0.6919494]	0.22250405464326597	0.35530965816441196	1.1662457902271692	0.8740818475635704
2016-06-13T07:51:04.085000	4986.503506584363	4987.343527448082	[4987.22352496]	[0.1092721]	[0.16396087]	[2.]	0.24316724098277992	0.4062075607410667	0.38609834097485146	0.2508331613468411
2016-06-12T06:12:33.957000	5671.792978236109	5672.592999819608	[5672.19200159,5672.42863875,5672.0965478 ]	[0.70407712,0.25951418,0.60621041]	[0.00624237,0.0099826 ,0.04766509]	[1.43258478,0.05617167,0.25074952]	0.2180215936280678	0.5819148514346627	0.11224270814497532	0.18421505702736432
2016-06-12T06:12:33.957000	5672.4729965820825	5673.1130138488825	[5672.91530613,5672.79398869,5672.68195952]	[0.62474887,0.64819289,0.32789169]	[0.03480063,0.01117712,0.01210984]	[-0.11769771, 0.15630853,-0.87243434]	0.42010899246736594	0.27653762035278817	0.08194923061356213	0.19032285693070544
2016-06-12T06:12:33.957000	5704.673865317943	5705.473886901442	[5705.09387611,5705.35762642,5705.00718327]	[0.54255794,0.55820031,0.1217457 ]	[0.04709383,0.00390986,0.053748  ]	[ 0.30590999,-1.69571209, 1.99997839]	0.15684909545596515	0.7180025972111699	0.1265668564746263	0.2241402879610773
2016-06-12T06:12:33.957000	5702.153797329918	5706.593917118341	[5704.39385722,5704.65386424,5705.33388366]	[0.25115391,0.07572108,0.12067005]	[0.03109577,0.40592539,0.71894885]	[ 0.7985557,-2.       , 2.       ]	0.06202081529750641	0.9246846886938557	1.6929951667058922	1.3370577275100877
