# Observation date	Start [Å]	End [Å]	Center [Å]	Width	Amplitude	Skew	RMSE	R2	FWHM [Å]	EW [Å]
2015-07-21T00:15:43.265000	4369.732421895759	4374.53217080434	[4372.03230263,4373.97219905,4372.53227438]	[0.1595543 ,0.1129709 ,0.32757742]	[0.45863314,0.10472422,0.25285484]	[ 1.76428642,-1.9999988 , 0.95150309]	0.1473532469045167	0.7503892942334388	1.079998500816942	1.5614524959924105
2015-07-21T00:15:43.265000	4499.425637196391	4503.425427953543	[4501.42660311,4502.00550216]	[0.56881909,0.53561943]	[0.11549354,0.30268087]	[0.42125852,0.15398955]	0.09440054344548673	0.9047748320804772	0.7127589913965064	0.9506557086787603
2015-07-21T00:15:43.265000	4667.6768353959615	4669.2367537912505	[4669.03744519,4667.83682807]	[0.42065307,0.11572223]	[0.01052684,0.28824251]	[-0.01971711,-1.99999986]	0.15144693945823617	0.56568170122256	0.6787592499233346	0.4719648150024869
2015-07-21T00:15:43.265000	4680.816148033204	4685.1759199584985	[4682.77604446,4682.976034  ,4683.13602563]	[0.34245154,0.32012483,0.11244482]	[0.07275633,0.15338608,0.42207414]	[-1.23746095,-1.06233174,-1.99999981]	0.09560766320577424	0.9037012751942198	0.9939086390699571	0.9941723685378506
2015-07-21T00:15:43.265000	4697.715263982168	4700.235132159173	[4699.77562686,4698.3352326 ,4698.5952169 ]	[0.02587494,0.13476552,0.3143755 ]	[0.02124153,0.15902847,0.27679721]	[-1.89506066,-0.58063029,-1.53164659]	0.061017456991046944	0.9584213235325163	0.6518076124942893	0.783844050734562
2015-07-21T00:15:43.265000	4763.951798920594	4764.511769626595	[4764.23202832,4764.32807744,4764.45004386]	[1.10726752e-01,1.56271740e-07,1.00000000e+00]	[9.07560071e-04,3.65026252e-07,5.01431576e-03]	[0.38859603,0.74978755,2.        ]	0.48873588776422094	-0.1379672866895838	0.011807811256666282	0.043135076972016365
2015-07-21T00:15:43.265000	4777.511089587338	4781.750867789918	[4780.2509473 ,4779.31099438,4779.15100275]	[0.44244176,0.14094011,0.19427367]	[0.33114046,0.19498692,0.08836848]	[ 0.12863889,-1.96182942,-1.8805688 ]	0.07702953752941051	0.9349091886438992	0.7797761993363193	1.0607169232217537
2015-07-21T00:15:43.265000	4966.181219602166	4966.781188215738	[4966.5010507 ,4966.65352306,4966.40738508]	[0.26840938,0.29378104,0.2217814 ]	[0.0190066 ,0.00585208,0.04387043]	[-0.07476667, 0.12693123, 0.44596333]	0.2541445917688779	0.2002867459498232	0.10330696294469614	0.0927047429911968
2015-07-21T00:15:43.265000	4968.121118119384	4968.761084640528	[4968.50115817]	[3.48092984e-12]	[2.97158009]	[1.9437938]	0.40280509130682673	-0.3367888687726017	6.997536370079368	3.3451342193196444e-12
2015-07-21T00:15:43.265000	4977.580623260046	4978.140593966048	[4977.84392461,4977.94060547,4977.76041489]	[5.36528473e-01,5.06603530e-01,2.59372850e-36]	[0.00705063,0.02479293,0.31155805]	[-1.28875563, 0.06403121, 0.0381943 ]	0.3035191730682216	0.34277928941714175	0.7336631513155422	0.09595504927867343
2015-07-21T00:15:43.265000	4982.900344967058	4985.780194312207	[4984.54026022,4984.36026964]	[0.14225464,0.07789126]	[0.07793387,0.21054221]	[1.85879396,2.        ]	0.24555666589297606	0.2848724409562924	0.4957890255396485	0.3585779821603238
2015-07-21T00:15:43.265000	4986.880136770423	4987.60009910671	[4987.25575821]	[0.41739932]	[0.05720244]	[0.05940137]	0.18879071533940064	0.4642098582815538	0.1347014622137207	0.13239626904945265
2015-07-20T05:38:56.887000	5671.482532099162	5672.082500617569	[5671.76988782,5671.58089793,5671.6917945 ]	[0.43549263,0.36445104,0.39123364]	[0.02780746,0.00934418,0.03729891]	[-1.06687853, 0.52968519,-0.08540303]	0.22380468990321054	0.6673456615426518	0.08783222251224294	0.15954863773775604
2015-07-20T05:38:56.887000	5671.882511111434	5672.482479629842	[5672.1655488 ,5672.06250062,5672.32248698]	[0.56735109,0.54733802,0.36752099]	[0.00991582,0.0338574 ,0.02725804]	[-0.65512481, 0.1604774 ,-0.82812296]	0.24591358057255058	0.4616914559673251	0.07972809502624233	0.18946119889401086
2015-07-20T05:38:56.887000	5706.600689376625	5707.280653697487	[5706.96067016]	[0.20833287]	[0.04211393]	[-0.17822933]	0.22843351803438405	0.09238911248443582	0.09917072344937078	0.046570107341724724
2015-07-20T05:38:56.887000	5707.140661043192	5707.820625364054	[5707.47607632,5707.34986446]	[0.7321728 ,0.58193588]	[0.01352827,0.04751567]	[-0.25157965, 0.02112709]	0.2786821249991553	0.602683947843075	0.11189084627654688	0.16857784307456947
2015-07-20T05:38:56.887000	5708.720578141665	5713.76031369629	[5710.4604858]	[0.09932993]	[0.73607191]	[-2.]	0.1751811574872822	0.44336090109726056	1.733316888326983	1.0248223346715397
2015-07-20T05:38:56.887000	5736.379126840258	5744.058723875877	[5738.55901144,5740.23892536,5741.598854  ]	[0.1626578 ,0.81404395,0.33889691]	[0.2579731 ,0.63486577,0.36046752]	[ 0.18589662, 0.00616729,-0.41089553]	0.06543400128990355	0.958540690088135	1.4949946334703448	2.802373461967152
2015-07-20T05:38:56.887000	5744.878680851035	5746.0386199866225	[5745.43865042,5745.2164711 ,5745.75865867]	[0.29678605,0.08047403,0.1729653 ]	[0.03645976,0.01098542,0.09900898]	[-1.56354691, 1.10771644, 1.33607425]	0.146119872328075	0.756936414160055	0.23314833093490675	0.2149405014263648
2015-07-20T05:38:56.887000	5755.678114182373	5757.238032330233	[5756.47807326]	[0.40681449]	[0.14193668]	[0.4351757]	0.2188893989364813	0.36832048942393314	0.3342353388568959	0.3420544341605631
2015-07-20T05:38:56.887000	5765.557595785485	5766.157564303893	[5765.83758004,5765.95758004]	[0.66306981,0.15241737]	[0.04797333,0.01782476]	[-0.72068787,-1.52478396]	0.13373904630374697	0.8522832786328163	0.1129685596197439	0.17405221561170522
2015-07-20T05:38:56.887000	5773.15719701865	5773.677169734603	[5773.4111285 ,5773.49530965]	[0.45179728,0.45787901]	[0.01558366,0.01335568]	[-0.51926272, 0.2944554 ]	0.27879142598452084	0.3209928100260938	0.03669671162291293	0.09058744128878425
2015-07-20T05:38:56.887000	5775.7570605984165	5776.357029116824	[5776.05785888]	[0.72738404]	[0.01119451]	[-0.43032646]	0.3037143242676333	0.2343169681321704	0.02636105805808532	0.04446812797137216
2015-07-20T05:38:56.887000	5781.276770967767	5781.836741584947	[5781.57675628]	[0.75004619]	[0.03491938]	[0.19296724]	0.16474579303080278	0.6674954255415015	0.08222885611602444	0.11863367194995114
2015-07-20T05:38:56.887000	5779.17688115334	5780.1368307827925	[5779.35687268,5779.63685597,5779.77674877]	[0.21974492,0.59547715,0.27959551]	[0.03134027,0.02811894,0.05288865]	[-0.73100477, 0.54006709,-0.5814636 ]	0.19429600941058034	0.5672456546782292	0.12454325222435816	0.2401663308059203
2015-07-20T05:38:56.887000	5784.036626152442	5784.6765925720765	[5784.33660936]	[0.12255181]	[0.03819762]	[-1.70485792]	0.39004084328683597	-0.06367828189190594	0.08994852504190767	0.057087695649723685
2015-07-20T05:38:56.887000	5809.71527874029	5810.315247258698	[5809.99909144]	[0.1171775]	[0.01663576]	[-1.99888102]	0.6759787306070778	-0.1009663335260702	0.039174221238607844	0.03535074811243426
2015-07-20T05:38:56.887000	5815.614969171299	5816.1749397884805	[5815.91398656,5815.80560289]	[0.69814909,0.52929262]	[0.02264372,0.01523982]	[0.40910269,0.06878435]	0.1119483942817897	0.8339162966325293	0.053321892432016224	0.10231097282801957
2015-07-20T05:38:56.887000	5842.4935587959635	5843.093527314371	[5842.79781151,5842.82853622,5842.71993016]	[0.68397933,0.17297328,0.50753118]	[0.01562301,0.04631499,0.01958754]	[ 0.22743996,-1.46184842,-0.0643623 ]	0.10659738851918753	0.8255222334485479	0.1090634706771113	0.15885564928833817
2015-07-20T05:38:56.887000	5852.933011016256	5857.2527843487915	[5854.52432786,5855.73286305,5855.87285571]	[0.62851374,0.14191935,0.33019059]	[0.0040637 ,0.32831647,0.24973195]	[ 0.15662028, 2.        ,-0.77310859]	0.14130860769035367	0.7251239608371473	0.7731261997060223	1.0366313714091444
